evidence_id,clinical_node_id,pmid,title,prespecified_design,outcome_signals,abstract_locator_quote,source_url,verification_status,full_text_status,risk_of_bias_status,grade_status,allowed_use
AE-K1-31005969,K1,31005969,Monthly high-dose vitamin D supplementation does not increase kidney stone risk or serum calcium: results from a randomized controlled trial.,randomized_controlled_trial,adverse;hypercalcemia;kidney stone;urolith,"However, there are limited RCT data on the safety of calcium-related adverse effects.",https://pubmed.ncbi.nlm.nih.gov/31005969/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K1-30180273,K1,30180273,"Safety of calcium and vitamin D supplements, a randomized controlled trial.",randomized_controlled_trial,hypercalciuria;kidney stone,OBJECTIVE: It is anticipated that an intake of vitamin D found acceptable by Endocrine Society Guidelines (10 000 IU/day) with co-administered calcium supplements may result in frequent hypercalciuria and hypercalcaemia.,https://pubmed.ncbi.nlm.nih.gov/30180273/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K1-27765695,K1,27765695,Vitamin D Repletion in Kidney Stone Formers: A Randomized Controlled Trial.,randomized_controlled_trial,kidney stone;nephrolith,PURPOSE: Vitamin D deficiency is often detected during metabolic evaluation in the nephrolithiasis population.,https://pubmed.ncbi.nlm.nih.gov/27765695/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K1-22422535,K1,22422535,Effect of vitamin D repletion on urinary calcium excretion among kidney stone formers.,clinical_trial,adverse;hypercalcemia;kidney stone;nephrolith,"BACKGROUND AND OBJECTIVES: Despite the important role of vitamin D in maintaining bone health, many clinicians are reluctant to treat vitamin D deficiency in kidney stone formers because of the theoretical risk of increasing urinary calcium excretion.",https://pubmed.ncbi.nlm.nih.gov/22422535/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K1-24937025,K1,24937025,Incidence of hypercalciuria and hypercalcemia during vitamin D and calcium supplementation in older women.,randomized_controlled_trial,hypercalcemia;hypercalciuria;kidney stone,"OBJECTIVE: This study aims to prospectively assess the incidence of hypercalciuria and hypercalcemia with different doses of vitamin D and with a calcium intake of approximately 1,200 mg/day.",https://pubmed.ncbi.nlm.nih.gov/24937025/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K2-6308447,K2,6308447,Sensory neuropathy from pyridoxine abuse. A new megavitamin syndrome.,case_series,neuropath;sensory,We describe seven adults who had ataxia and severe sensory-nervous-system dysfunction after daily high-level pyridoxine (vitamin B6) consumption.,https://pubmed.ncbi.nlm.nih.gov/6308447/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K2-37447150,K2,37447150,The Role of Vitamin B6 in Peripheral Neuropathy: A Systematic Review.,systematic_review,neuropath;neurotoxic;sensory,Both vitamin B6 deficiency and high B6 intake have been described as risk factors for developing peripheral neuropathy (PN).,https://pubmed.ncbi.nlm.nih.gov/37447150/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K2-37207271,K2,37207271,Scientific opinion on the tolerable upper intake level for vitamin B6.,scientific_opinion,neuropath,The relationship between excess vitamin B6 intakes and the development of peripheral neuropathy is well established and is the critical effect on which the UL is based.,https://pubmed.ncbi.nlm.nih.gov/37207271/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K2-33619867,K2,33619867,Association between neuropathy and B-vitamins: A systematic review and meta-analysis.,systematic_review,neuropath,"BACKGROUND: Peripheral neuropathy (PN) is common in patients with diseases that are in turn associated with deficiency of the B-vitamins, and vitamin treatment has shown mixed results.",https://pubmed.ncbi.nlm.nih.gov/33619867/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K3-25700159,K3,25700159,Ferrous sulfate supplementation causes significant gastrointestinal side-effects in adults: a systematic review and meta-analysis.,systematic_review_meta_analysis,tolerab,BACKGROUND: The tolerability of oral iron supplementation for the treatment of iron deficiency anemia is disputed.,https://pubmed.ncbi.nlm.nih.gov/25700159/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K3-23252877,K3,23252877,Tolerability of different oral iron supplements: a systematic review.,systematic_review,adverse;tolerab,OBJECTIVE: A systematic review was conducted to analyze the tolerability of several oral iron supplements based on data obtained in available publications and to report the incidence of adverse effects (AEs) for each supplement both overall and gastrointestinal.,https://pubmed.ncbi.nlm.nih.gov/23252877/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
