record_id,pmid,question_ids,label,confidence,evidence_basis,rationale,parse_status,batch_id,model_id,model_revision,prompt_sha256,input_sha256
PMID-10655252,10655252,OTC-LIT-Q04-DIGESTIVE,deprioritize,low,title_abstract,제목과 초록으로 보아 관련성이 없음,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,1dcac39fefeb9c0c34cb1a2e22656c1e2cdb99d59ed1771af19ad81bc6c5977f
PMID-10860133,10860133,OTC-LIT-Q05-TOPICAL,retain,high,title_abstract,"외용 복합성분의 반복·과량 사용, 소아 노출 또는 항응고제 병용",parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,d32d6d0c98d3f4cf83cfe199d3af7bba8f0aa9495f66d1a77161957fc2ea1eac
PMID-10876377,10876377,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,외용 복합성분의 위해 연구와 관련없음,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,60ddc8adf661da0bd3ae824641fa05a7242975d7c96a680b5cca5537e4fa2e0c
PMID-10881777,10881777,OTC-LIT-Q05-TOPICAL,retain,high,title_abstract,살리실산메틸·멘톨·캄파 외용성분의 위해,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,315dd04bffcf9632b0c6d640ae49e72c42fd2003fbf0504221410879fb2e8a11
PMID-10965417,10965417,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,제목과 초록으로는 해당 질문과 관련성이 미비,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,9be6fdf4a4fab14dfef011224651e49b83dd4e1c7b387e51968a7a67dc0cf5e9
PMID-11000170,11000170,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,제목과 초록으로는 외용성분 및 그에 따른 위험성과 관련성이 없음,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,8b49d79bb6fa1a13468425d30e146ab905ab5e78c87e8654bc0fb790923a78a6
PMID-11002388,11002388,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,제목과 초록으로 PICOS 질문과 관련성이 낮음,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,ce4cd279b94104a2fec29e78447f7e20c489a2331da429f9680da950ef44801d
PMID-11069498,11069498,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,외용 복합성분의 반복·과량 사용 등과 같은 위해요인에 대한 논의 미,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,21e96f8141dcef350637507d7e696bab5fc9f06a55fc86fdafe916510f97ffae
PMID-11106014,11106014,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,제목과 초록으로는 해당 질문과 관련성이 미비,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,122aa26253fd98ec33507ad58e95c171b9872865846bbaf8967f774125f76ead
PMID-11121917,11121917,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,외용 복합성분의 위해,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,8e71f6215ffc8e7b6d7f3e9443662f06e31cdb843dc5381ddb698290e2459e90
PMID-11148527,11148527,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,외용 복합성분의 위해,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,db791fafd0785e9cb243754fd7968b3c4a2f1e9b2b1d8049e53520bf5b7fc6eb
PMID-11174287,11174287,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,제목과 초록으로는 외용성분 관련 연구 미포함,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,2829a4ca01ae2bd73d228a40d002c789804fdd86158407b986afb3d2cdbcfaac
PMID-11186130,11186130,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,제목과 초록으로는 관련성이 불명확,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,96a099085936917af2d0d19a5980e8e84378481b9d585390b4613bf5ff350ca4
PMID-11333184,11333184,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,제목과 초록으로 보아 관련성이 없음,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,12d38a353caebb1fda78f5e0cc3826d74690d3e49f0496e52f8f7d7be3254777
PMID-11335011,11335011,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,제목과 초록으로는 PICOS 질문과 관련성이 불명확,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,ed5572b13441cb67d750c9348d25227f8d761a8fecd57d85854ec0820b5f80d7
PMID-11385289,11385289,OTC-LIT-Q04-DIGESTIVE,deprioritize,low,title_abstract,제목과 초록으로 보아 관련성이 없음,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,c59bd7c1eae68f6f0d37e922f4c4ac9d3c7093eef620197f854aeced79a34e55
PMID-11392120,11392120,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,제목과 초록으로는 외용성분 관련 연구가 아닌 것 같음,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,9585d6aac4430c3a72fc505f378d7cae2571260de471ee6002fe5c9880727238
PMID-11515949,11515949,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,제목과 초록으로 보아 질문과 관련성이 없음,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,155fd1d37b9d5e2e8f4b350466ab603d133997a2bd152e4b1eb4c136cec4eacf
PMID-11525226,11525226,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,제목과 초록으로는 외용성분 관련 연구로 파악됨,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,4ffbff3f849351ab6e7b7efe11d652ba268aeb0d2ab2dacaa70f6f2b76a1a18f
PMID-11757763,11757763,OTC-LIT-Q04-DIGESTIVE,retain,high,title_abstract,담즙산 사용과 알레르기 발생,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,65f488b5779f6260262fe6a6a75c401a54ab1ff09a79a7140f02ccd582693e1c
PMID-11758267,11758267,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,제목과 초록에서 외용성분 관련 정보 없음,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,7b44292247ca6d2108db5a5a204a471b465a9986bbecb44117bc9d38dec6f8ff
PMID-11766133,11766133,OTC-LIT-Q05-TOPICAL,deprioritize,low,title_abstract,제목과 초록으로 보아 관련성 미확실,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,2bb90b97107025823057220b04e3def6b4fb434296659f2489e4fd96f06a2366
PMID-11929411,11929411,OTC-LIT-Q04-DIGESTIVE,deprioritize,low,title_abstract,제목과 초록으로 보아 관련성이 없음,parsed,P2-B0001,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fb7e0b495d6c58538f66641c07425447dd012c1c3e8b4da2b186f155474d3e76,94db0ba358d4706cc13f4c2a798223092ae3b077be35f4fb0d7f8c7666446cd9
