ingredient_group,ingredient,rule_seed,threshold_or_trigger,safety_signal,priority,source_basis,source_url,notes
fat_soluble_vitamin_calcium,vitamin D,total_daily_vitamin_d_mcg > 100 or total_daily_vitamin_d_iu > 4000 in adults; also flag high serum 25(OH)D if provided,"Adult UL 100 mcg/day (4,000 IU); toxicity usually through supplements; serum 25(OH)D >150 ng/mL is a toxicity marker",hypercalcemia; hypercalciuria; kidney stones; renal failure/arrhythmia in severe toxicity,high,NIH ODS Vitamin D health professional fact sheet,https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/,"Useful first rule because threshold and outcomes are explicit. Separate supplement dose from therapeutic prescription."
fat_soluble_vitamin_calcium,calcium,total_calcium_mg > adult UL or supplemental_calcium_mg >= 1000 with stone history/high vitamin D/renal risk,"Adult UL generally 2,000-2,500 mg/day by age; WHI signal used for kidney stone concern with 1,000 mg/day supplemental calcium",hypercalcemia; hypercalciuria; nephrolithiasis; constipation; absorption interaction,high,NIH ODS Calcium health professional fact sheet,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"Model total calcium and supplemental calcium separately; rule should combine dose with kidney stone history and vitamin D co-use."
B_complex,vitamin B6 / pyridoxine,vitamin_b6_mg > 12 as EU caution; vitamin_b6_mg >= 100 as US adult UL exceedance,"US FNB adult UL 100 mg/day; EFSA 2023 adult UL 12 mg/day based on peripheral neuropathy",peripheral neuropathy; sensory neuropathy; paresthesia; neurotoxicity,high,NIH ODS Vitamin B6 health professional fact sheet; EFSA B6 UL scientific opinion,https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/,"Use dual-threshold logic: low caution at EFSA threshold, stronger alert at US UL or long duration."
B_complex,B-complex / benfotiamine,B-complex product contains B6 above caution threshold or multiple B products with cumulative B6 dose unknown,"Risk depends on pyridoxine equivalent dose and duration; product labels may hide cumulative B6 from multiple products",B6-related neuropathy signal; duplicate supplementation,medium,NIH ODS Vitamin B6 health professional fact sheet,https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/,"Prompt user to enter per-product B6 amount; do not infer safety from product category alone."
minerals,magnesium,supplemental_magnesium_mg > 350 or magnesium laxative/antacid co-use; renal impairment escalates severity,"Adult UL for magnesium from supplements/medications is 350 mg/day; food magnesium is not counted toward this UL",diarrhea; nausea; abdominal cramping; irregular heartbeat/cardiac arrest at extreme intake,high,NIH ODS Magnesium consumer and health professional fact sheets,https://ods.od.nih.gov/factsheets/Magnesium-Consumer/,"Rule must use supplemental elemental magnesium, not compound weight; renal impairment should upgrade alert."
minerals,iron,total_iron_mg >= 45 unless clearly therapeutic under clinician direction; hemochromatosis or child exposure escalates,"Adult UL 45 mg/day; high-dose iron can cause GI adverse effects and reduce zinc absorption",constipation; nausea; abdominal pain; vomiting; diarrhea; zinc absorption reduction,high,NIH ODS Iron consumer and health professional fact sheets,https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,"Separate OTC self-use from prescribed iron-deficiency treatment; flag levothyroxine spacing in interaction rules."
minerals,zinc,total_zinc_mg > 40 or chronic high-dose zinc product/denture adhesive exposure,"Adult UL 40 mg/day; excess zinc can cause GI symptoms and copper deficiency",nausea; vomiting; gastric distress; copper deficiency; reduced immune markers,high,NIH ODS Zinc health professional fact sheet,https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/,"Add chronic-use duration field because copper deficiency is duration-dependent."
fat_soluble_vitamins,vitamin A / preformed retinol,preformed_vitamin_a_mcg_rae > 3000 in adults; pregnancy/liver disease/alcohol use escalates,"Adult UL for preformed vitamin A is 3,000 mcg RAE/day; toxicity differs from provitamin A carotenoids",liver toxicity; teratogenic risk; dry skin; bone-related concern,medium,NIH ODS Vitamin A health professional fact sheet,https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/,"Track preformed retinol separately from beta-carotene/provitamin A; important for multivitamin/cod liver oil examples."
fat_soluble_vitamins,vitamin E,vitamin_e_mg >= 1000 or high-dose vitamin E plus anticoagulant/antiplatelet/low vitamin K,"Adult supplement UL 1,000 mg/day; high doses may increase bleeding risk, especially with anticoagulants/antiplatelets",bleeding; hemorrhagic stroke concern; anticoagulant interaction,medium,NIH ODS Vitamin E health professional fact sheet,https://ods.od.nih.gov/factsheets/VitaminE-HealthProfessional/,"Rule should check warfarin/antiplatelet co-use even below UL if dose is high."
fat_soluble_vitamins,vitamin K,warfarin_or_vka_use and sudden vitamin_k_intake_change from supplement,"No established UL signal for typical vitamin K, but clinically important interaction with warfarin-like anticoagulants",reduced or unstable anticoagulant effect; INR instability,medium,NIH ODS Vitamin K health professional fact sheet,https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/,"This belongs in interaction rules, not dose-toxicity rules. Stable intake matters more than absolute high intake."
