seed_id,node_id,pmid,doi,title,design,reason_for_seed,source_url,eligibility_status,verified_at_utc
SEED-K1-001,K1,31005969,10.1093/ajcn/nqy378,Monthly high-dose vitamin D supplementation does not increase kidney stone risk or serum calcium: results from a randomized controlled trial,randomized_controlled_trial,"Direct high-dose vitamin D kidney stone and hypercalcemia outcomes",https://pubmed.ncbi.nlm.nih.gov/31005969/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K1-002,K1,30180273,10.1111/cen.13848,Safety of calcium and vitamin D supplements: a randomized controlled trial,randomized_controlled_trial,"Direct vitamin D plus calcium hypercalciuria and hypercalcemia outcomes",https://pubmed.ncbi.nlm.nih.gov/30180273/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K1-003,K1,27765695,,Vitamin D Repletion in Kidney Stone Formers: A Randomized Controlled Trial,randomized_controlled_trial,"Stone-former population and urinary calcium outcomes",https://pubmed.ncbi.nlm.nih.gov/27765695/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K1-004,K1,22422535,,Effect of vitamin D repletion on urinary calcium excretion among kidney stone formers,clinical_trial,"Direct urinary calcium monitoring in stone formers",https://pubmed.ncbi.nlm.nih.gov/22422535/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K1-005,K1,24937025,,Incidence of hypercalciuria and hypercalcemia during vitamin D and calcium supplementation in older women,randomized_controlled_trial,"Dose range with repeated calcium safety measurements",https://pubmed.ncbi.nlm.nih.gov/24937025/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K2-001,K2,6308447,,Sensory neuropathy from pyridoxine abuse,case_series,"Classic direct pyridoxine sensory neuropathy signal",https://pubmed.ncbi.nlm.nih.gov/6308447/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K2-002,K2,37447150,10.3390/nu15132823,The Role of Vitamin B6 in Peripheral Neuropathy: A Systematic Review,systematic_review,"Recent synthesis of B6-related peripheral neuropathy",https://pubmed.ncbi.nlm.nih.gov/37447150/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K2-003,K2,37207271,,Scientific opinion on the tolerable upper intake level for vitamin B6,scientific_opinion,"Dose-time relation and adult upper intake reference point",https://pubmed.ncbi.nlm.nih.gov/37207271/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K2-004,K2,33619867,,Association between neuropathy and B-vitamins: A systematic review and meta-analysis,systematic_review,"Context for separating deficiency treatment from toxicity",https://pubmed.ncbi.nlm.nih.gov/33619867/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K3-001,K3,25700159,10.1371/journal.pone.0117383,Ferrous sulfate supplementation causes significant gastrointestinal side-effects in adults: a systematic review and meta-analysis,systematic_review_meta_analysis,"Direct adult oral ferrous sulfate GI adverse-event synthesis",https://pubmed.ncbi.nlm.nih.gov/25700159/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K3-002,K3,23252877,10.1185/03007995.2012.761599,Tolerability of different oral iron supplements: a systematic review,systematic_review,"Formulation-specific tolerability synthesis",https://pubmed.ncbi.nlm.nih.gov/23252877/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
