rule_id,rule_group_id,ingredient_id,rule_name_ko,rule_category,severity,priority,jurisdiction,applies_when,threshold_operator,threshold_value,threshold_unit,threshold_scope,action_text_ko,rationale_ko,monitoring_ko,exception_ko,evidence_chunk_ids,source_ids,review_status,schema_note
RULE-VITA-UL-US-ADULT,GROUP-VITA-UL-ADULT,vitamin_a_preformed,프리폼드 비타민 A 성인 UL(미국),dose_limit,avoid,90,US,"{""age_years"": {""min"": 19}, ""ingredient_forms_any"": [""retinol"", ""retinyl palmitate"", ""retinyl acetate"", ""retinyl esters""]}",>,3000.0,mcg RAE/day,preformed_only,"프리폼드 비타민 A 총일일섭취량이 3,000 mcg RAE/day를 넘지 않도록 제한한다.","프리폼드 vitamin A UL은 3,000 mcg/day이며 beta-carotene에는 직접 적용되지 않는다.",,,"[""CHK-VITA-UL-US""]","[""SRC-US-ODS-VITAMIN-A""]",starter_validated,applies_when is JSON for extension; engine may compile to rule predicates.
RULE-VITA-PREGNANCY-HIGHDOSE,GROUP-VITA-PREGNANCY,vitamin_a_preformed,임신/임신가능 여성의 고용량 비타민 A 회피,pregnancy_lactation,avoid,95,US,"{""pregnancy_status_any"": [""pregnant"", ""trying_to_conceive"", ""unknown_possible""], ""ingredient_forms_any"": [""retinol"", ""retinyl palmitate"", ""retinyl acetate"", ""retinyl esters""]}",>,3000.0,mcg RAE/day,preformed_only,"임신 중이거나 임신 가능성이 있으면 프리폼드 비타민 A 보충제를 3,000 mcg RAE/day 초과로 사용하지 않는다.",고용량 retinoid 계열 vitamin A는 선천기형 위험과 연결되어 보수적 제한이 필요하다.,,,"[""CHK-VITA-PREG-CAUTION"", ""CHK-VITA-UL-US""]","[""SRC-US-ODS-VITAMIN-A""]",starter_validated,applies_when is JSON for extension; engine may compile to rule predicates.
RULE-BETACAROTENE-SMOKERS-AVOID,GROUP-BETACAROTENE-SMOKERS,beta_carotene,흡연자/과거흡연자의 고용량 베타카로틴 회피,population_caution,avoid,92,US/INTL,"{""smoking_status_any"": [""current"", ""former""], ""exposure_any"": [""asbestos""]}",,,,,흡연자·과거흡연자·석면노출자는 고용량 beta-carotene 보충제를 회피한다.,흡연자 대상 RCT와 ODS 경고는 폐암 위험 증가 신호를 제시한다.,흡연력/석면 노출 이력은 별도 structured field로 수집한다.,,"[""CHK-BETACAR-SMOKER-RISK-ATBC"", ""CHK-BETACAR-SMOKER-RISK-GENERAL""]","[""SRC-PMID-8127329"", ""SRC-US-ODS-VITAMIN-A""]",starter_validated,applies_when is JSON for extension; engine may compile to rule predicates.
RULE-VITD-UL-US-ADULT,GROUP-VITD-UL-ADULT,vitamin_d,비타민 D 성인 UL(미국),dose_limit,avoid,85,US,"{""age_years"": {""min"": 19}}",>,100.0,mcg/day,all_sources,"비타민 D 총일일섭취량이 100 mcg/day(4,000 IU/day)를 넘지 않도록 제한한다.",ODS 성인 UL 기준.,,,"[""CHK-VITD-UL-US""]","[""SRC-US-ODS-VITAMIN-D""]",starter_validated,applies_when is JSON for extension; engine may compile to rule predicates.
RULE-VITD-THIAZIDE-HYPERCALCEMIA,GROUP-VITD-THIAZIDE,vitamin_d,비타민 D + thiazide 이뇨제,interaction,warn,80,US,"{""medications_any"": [""hydrochlorothiazide"", ""chlorthalidone"", ""thiazide diuretic""]}",,,,,thiazide 이뇨제 복용 중이면 vitamin D 고용량 사용을 보수적으로 제한하고 calcium 상태를 확인한다.,thiazide와 vitamin D 병용은 고칼슘혈증 위험을 높일 수 있다.,"serum calcium, renal function 검토 권장.",,"[""CHK-VITD-THIAZIDE""]","[""SRC-US-ODS-VITAMIN-D""]",starter_validated,applies_when is JSON for extension; engine may compile to rule predicates.
RULE-VITD-ORLISTAT-ABSORPTION,GROUP-VITD-ORLISTAT,vitamin_d,비타민 D + orlistat 흡수저하,interaction,warn,65,US,"{""medications_any"": [""orlistat""]}",,,,,orlistat 복용 중이면 vitamin D 흡수 저하 가능성을 반영해 분리 복용 또는 상태 재평가를 권고한다.,orlistat은 지용성 비타민 흡수를 감소시킬 수 있다.,25(OH)D 추적 또는 증상 기반 재평가.,,"[""CHK-VITD-ORLISTAT""]","[""SRC-US-ODS-VITAMIN-D""]",starter_validated,applies_when is JSON for extension; engine may compile to rule predicates.
RULE-CALCIUM-UL-US-19-50,GROUP-CALCIUM-UL-ADULT,calcium,칼슘 UL 19–50세(미국),dose_limit,avoid,82,US,"{""age_years"": {""min"": 19, ""max"": 50}}",>,2500.0,mg/day,all_sources,"칼슘 총일일섭취량이 2,500 mg/day를 넘지 않도록 제한한다.",ODS age-band UL.,,,"[""CHK-CALCIUM-UL-US""]","[""SRC-US-ODS-CALCIUM""]",starter_validated,applies_when is JSON for extension; engine may compile to rule predicates.
RULE-CALCIUM-UL-US-51PLUS,GROUP-CALCIUM-UL-ADULT,calcium,칼슘 UL 51세 이상(미국),dose_limit,avoid,82,US,"{""age_years"": {""min"": 51}}",>,2000.0,mg/day,all_sources,"51세 이상은 칼슘 총일일섭취량이 2,000 mg/day를 넘지 않도록 제한한다.",ODS age-band UL.,,,"[""CHK-CALCIUM-UL-US""]","[""SRC-US-ODS-CALCIUM""]",starter_validated,applies_when is JSON for extension; engine may compile to rule predicates.
RULE-CALCIUM-LEVOTHYROXINE-4H,GROUP-CALCIUM-LEVOTHYROXINE,calcium,칼슘 + 레보티록신 분리복용,timing_separation,warn,88,US,"{""medications_any"": [""levothyroxine""], ""same_day"": true}",,4.0,hours,timing,칼슘과 levothyroxine은 최소 4시간 이상 간격을 둔다.,칼슘탄산염이 levothyroxine 흡수를 낮출 수 있다.,,,"[""CHK-CALCIUM-LEVOTHYROXINE""]","[""SRC-US-ODS-CALCIUM""]",starter_validated,applies_when is JSON for extension; engine may compile to rule predicates.
RULE-CALCIUM-QUINOLONE-SPLIT,GROUP-CALCIUM-QUINOLONE,calcium,칼슘 + 퀴놀론 항생제 분리복용,timing_separation,warn,78,US,"{""medications_any"": [""quinolone antibiotic"", ""ciprofloxacin"", ""levofloxacin"", ""moxifloxacin""]}",,,,,칼슘과 quinolone 항생제는 복용 간격을 둔다.,킬레이션으로 항생제 흡수가 감소할 수 있다.,기본 규칙: 항생제를 칼슘보다 최소 2시간 전 또는 4–6시간 후 복용.,,"[""CHK-CALCIUM-QUINOLONE""]","[""SRC-US-ODS-CALCIUM""]",starter_validated,applies_when is JSON for extension; engine may compile to rule predicates.
