quote_id,evidence_id,source_url,locator,quote,verification_status
AQ-K1-31005969,AE-K1-31005969,https://pubmed.ncbi.nlm.nih.gov/31005969/,PubMed abstract,"However, there are limited RCT data on the safety of calcium-related adverse effects.",verified_against_pubmed_abstract
AQ-K1-30180273,AE-K1-30180273,https://pubmed.ncbi.nlm.nih.gov/30180273/,PubMed abstract,OBJECTIVE: It is anticipated that an intake of vitamin D found acceptable by Endocrine Society Guidelines (10 000 IU/day) with co-administered calcium supplements may result in frequent hypercalciuria and hypercalcaemia.,verified_against_pubmed_abstract
AQ-K1-27765695,AE-K1-27765695,https://pubmed.ncbi.nlm.nih.gov/27765695/,PubMed abstract,PURPOSE: Vitamin D deficiency is often detected during metabolic evaluation in the nephrolithiasis population.,verified_against_pubmed_abstract
AQ-K1-22422535,AE-K1-22422535,https://pubmed.ncbi.nlm.nih.gov/22422535/,PubMed abstract,"BACKGROUND AND OBJECTIVES: Despite the important role of vitamin D in maintaining bone health, many clinicians are reluctant to treat vitamin D deficiency in kidney stone formers because of the theoretical risk of increasing urinary calcium excretion.",verified_against_pubmed_abstract
AQ-K1-24937025,AE-K1-24937025,https://pubmed.ncbi.nlm.nih.gov/24937025/,PubMed abstract,"OBJECTIVE: This study aims to prospectively assess the incidence of hypercalciuria and hypercalcemia with different doses of vitamin D and with a calcium intake of approximately 1,200 mg/day.",verified_against_pubmed_abstract
AQ-K2-6308447,AE-K2-6308447,https://pubmed.ncbi.nlm.nih.gov/6308447/,PubMed abstract,We describe seven adults who had ataxia and severe sensory-nervous-system dysfunction after daily high-level pyridoxine (vitamin B6) consumption.,verified_against_pubmed_abstract
AQ-K2-37447150,AE-K2-37447150,https://pubmed.ncbi.nlm.nih.gov/37447150/,PubMed abstract,Both vitamin B6 deficiency and high B6 intake have been described as risk factors for developing peripheral neuropathy (PN).,verified_against_pubmed_abstract
AQ-K2-37207271,AE-K2-37207271,https://pubmed.ncbi.nlm.nih.gov/37207271/,PubMed abstract,The relationship between excess vitamin B6 intakes and the development of peripheral neuropathy is well established and is the critical effect on which the UL is based.,verified_against_pubmed_abstract
AQ-K2-33619867,AE-K2-33619867,https://pubmed.ncbi.nlm.nih.gov/33619867/,PubMed abstract,"BACKGROUND: Peripheral neuropathy (PN) is common in patients with diseases that are in turn associated with deficiency of the B-vitamins, and vitamin treatment has shown mixed results.",verified_against_pubmed_abstract
AQ-K3-25700159,AE-K3-25700159,https://pubmed.ncbi.nlm.nih.gov/25700159/,PubMed abstract,BACKGROUND: The tolerability of oral iron supplementation for the treatment of iron deficiency anemia is disputed.,verified_against_pubmed_abstract
