rule_id,rule_type,status,severity,scope,lineage_status,binding_category,direct_product_binding_count,direct_product_item_sequences,applicability_json,applicability_field_count,source_evidence_count,source_item_sequences,source_ids,source_versions,source_urls,source_locators_json,source_evidence_json
OTC-RULE-001,duplicate_ingredient,released,high,acetaminophen_containing_selected_products,mapped_from_v50_released_rule,cross_product_or_global,0,,"{""ingredientIds"":[""ING-acetaminophen""]}",1,1,202106092,MFDS-NEDRUG-DETAIL,sha256:0c8ea0d7eb164b27673fc8549c42a06d874fdfa26047db8d0681b3a2f79c9442,https://nedrug.mfds.go.kr/dsie/pdf/drb/202106092/NB,"[""사용상의주의사항 PDF p.1, 문단 12""]","[{""excerptKo"":""아세트아미노펜을 포함하는 다른 제품과 함께 복용하여서는 안 된다."",""itemSequence"":""202106092"",""locator"":""사용상의주의사항 PDF p.1, 문단 12"",""productName"":""타이레놀정500밀리그람(아세트아미노펜)"",""ruleId"":""OTC-RULE-001"",""sourceId"":""MFDS-NEDRUG-DETAIL"",""sourceVersion"":""sha256:0c8ea0d7eb164b27673fc8549c42a06d874fdfa26047db8d0681b3a2f79c9442"",""url"":""https://nedrug.mfds.go.kr/dsie/pdf/drb/202106092/NB""}]"
OTC-RULE-002,duplicate_pharmacologic_class,released,high,ibuprofen_and_other_NSAIDs,mapped_from_v50_released_rule,cross_product_or_global,0,,"{""pharmacologicClasses"":[""NSAID""],""requiredAnchorIngredientIds"":[""ING-ibuprofen""]}",2,1,198601920,MFDS-NEDRUG-DETAIL,sha256:56a65a632347d0b38b6b0707e872564af4c139683559beafa0f66c99bea322ba,https://nedrug.mfds.go.kr/dsie/pdf/drb/198601920/NB,"[""사용상의주의사항 PDF p.2, 문단 17""]","[{""excerptKo"":""2) 일반적으로 다른 비스테로이드성 소염진통제(NSAIDs)와 함께 복용하지 않는다."",""itemSequence"":""198601920"",""locator"":""사용상의주의사항 PDF p.2, 문단 17"",""productName"":""어린이부루펜시럽(이부프로펜)"",""ruleId"":""OTC-RULE-002"",""sourceId"":""MFDS-NEDRUG-DETAIL"",""sourceVersion"":""sha256:56a65a632347d0b38b6b0707e872564af4c139683559beafa0f66c99bea322ba"",""url"":""https://nedrug.mfds.go.kr/dsie/pdf/drb/198601920/NB""}]"
OTC-RULE-003,max_daily_dose,released,high,acetaminophen_tylenol500_age_12_plus,mapped_from_v50_released_rule,direct_product,1,202106092,"{""administrationConstraintTypes"":[""maximum_daily_ingredient_amount""],""ingredientIds"":[""ING-acetaminophen""],""minimumAgeYears"":12,""productItemSequences"":[""202106092""]}",4,1,202106092,MFDS-NEDRUG-DETAIL,sha256:570dbb88246895d1a6ebfd95231d814ce7391a851cc0d1cc64db99b13f6cdaf2,https://nedrug.mfds.go.kr/dsie/pdf/drb/202106092/UD,"[""용법용량 PDF p.1, 문단 4""]","[{""excerptKo"":""1일 최대 4그램 (8정)을 초과하여 복용하지 않는다."",""itemSequence"":""202106092"",""locator"":""용법용량 PDF p.1, 문단 4"",""productName"":""타이레놀정500밀리그람(아세트아미노펜)"",""ruleId"":""OTC-RULE-003"",""sourceId"":""MFDS-NEDRUG-DETAIL"",""sourceVersion"":""sha256:570dbb88246895d1a6ebfd95231d814ce7391a851cc0d1cc64db99b13f6cdaf2"",""url"":""https://nedrug.mfds.go.kr/dsie/pdf/drb/202106092/UD""}]"
OTC-RULE-004,minimum_interval,released,high,tylenol500_age_12_plus,mapped_from_v50_released_rule,direct_product,1,202106092,"{""administrationConstraintTypes"":[""minimum_interval_hours""],""ingredientIds"":[""ING-acetaminophen""],""minimumAgeYears"":12,""productItemSequences"":[""202106092""]}",4,1,202106092,MFDS-NEDRUG-DETAIL,sha256:570dbb88246895d1a6ebfd95231d814ce7391a851cc0d1cc64db99b13f6cdaf2,https://nedrug.mfds.go.kr/dsie/pdf/drb/202106092/UD,"[""용법용량 PDF p.1, 문단 3""]","[{""excerptKo"":""1회 1~2정씩 1일 3-4회 (4-6시간 마다) 필요시 복용한다."",""itemSequence"":""202106092"",""locator"":""용법용량 PDF p.1, 문단 3"",""productName"":""타이레놀정500밀리그람(아세트아미노펜)"",""ruleId"":""OTC-RULE-004"",""sourceId"":""MFDS-NEDRUG-DETAIL"",""sourceVersion"":""sha256:570dbb88246895d1a6ebfd95231d814ce7391a851cc0d1cc64db99b13f6cdaf2"",""url"":""https://nedrug.mfds.go.kr/dsie/pdf/drb/202106092/UD""}]"
OTC-RULE-005,age_restriction,released,high,tylenol500_minimum_age_12,mapped_from_v50_released_rule,direct_product,1,202106092,"{""productItemSequences"":[""202106092""]}",1,1,202106092,MFDS-NEDRUG-DETAIL,sha256:570dbb88246895d1a6ebfd95231d814ce7391a851cc0d1cc64db99b13f6cdaf2,https://nedrug.mfds.go.kr/dsie/pdf/drb/202106092/UD,"[""용법용량 PDF p.1, 문단 2""]","[{""excerptKo"":""만 12세 이상 소아 및 성인:"",""itemSequence"":""202106092"",""locator"":""용법용량 PDF p.1, 문단 2"",""productName"":""타이레놀정500밀리그람(아세트아미노펜)"",""ruleId"":""OTC-RULE-005"",""sourceId"":""MFDS-NEDRUG-DETAIL"",""sourceVersion"":""sha256:570dbb88246895d1a6ebfd95231d814ce7391a851cc0d1cc64db99b13f6cdaf2"",""url"":""https://nedrug.mfds.go.kr/dsie/pdf/drb/202106092/UD""}]"
OTC-RULE-006,pregnancy_lactation,released,high,ibuprofen_pregnancy_lactation,mapped_from_v50_released_rule,direct_product,1,198601920,"{""lactationSupported"":false,""pregnancyTrimesters"":[3],""productItemSequences"":[""198601920""]}",3,1,198601920,MFDS-NEDRUG-DETAIL,sha256:56a65a632347d0b38b6b0707e872564af4c139683559beafa0f66c99bea322ba,https://nedrug.mfds.go.kr/dsie/pdf/drb/198601920/NB,"[""사용상의주의사항 PDF p.2, 문단 9""]","[{""excerptKo"":""11) 임신 말기 3개월 기간에 해당하는 임부(비스테로이드성 소염진통제와 마찬가지로 임신 말기에 이 약을 투여 시 태아의 동맥관을 조기 폐쇄시킬 수 있다)"",""itemSequence"":""198601920"",""locator"":""사용상의주의사항 PDF p.2, 문단 9"",""productName"":""어린이부루펜시럽(이부프로펜)"",""ruleId"":""OTC-RULE-006"",""sourceId"":""MFDS-NEDRUG-DETAIL"",""sourceVersion"":""sha256:56a65a632347d0b38b6b0707e872564af4c139683559beafa0f66c99bea322ba"",""url"":""https://nedrug.mfds.go.kr/dsie/pdf/drb/198601920/NB""}]"
OTC-RULE-007,hepatic_disease,released,high,acetaminophen_liver_disease,mapped_from_v50_released_rule,direct_product,1,202106092,"{""ingredientIds"":[""ING-acetaminophen""],""productItemSequences"":[""202106092""]}",2,1,202106092,MFDS-NEDRUG-DETAIL,sha256:0c8ea0d7eb164b27673fc8549c42a06d874fdfa26047db8d0681b3a2f79c9442,https://nedrug.mfds.go.kr/dsie/pdf/drb/202106092/NB,"[""사용상의주의사항 PDF p.1, 문단 24""]","[{""excerptKo"":""1) 간장애 또는 그 병력이 있는 환자"",""itemSequence"":""202106092"",""locator"":""사용상의주의사항 PDF p.1, 문단 24"",""productName"":""타이레놀정500밀리그람(아세트아미노펜)"",""ruleId"":""OTC-RULE-007"",""sourceId"":""MFDS-NEDRUG-DETAIL"",""sourceVersion"":""sha256:0c8ea0d7eb164b27673fc8549c42a06d874fdfa26047db8d0681b3a2f79c9442"",""url"":""https://nedrug.mfds.go.kr/dsie/pdf/drb/202106092/NB""}]"
OTC-RULE-008,renal_disease,released,high,ibuprofen_kidney_disease,mapped_from_v50_released_rule,direct_product,1,198601920,"{""productItemSequences"":[""198601920""]}",1,1,198601920,MFDS-NEDRUG-DETAIL,sha256:56a65a632347d0b38b6b0707e872564af4c139683559beafa0f66c99bea322ba,https://nedrug.mfds.go.kr/dsie/pdf/drb/198601920/NB,"[""사용상의주의사항 PDF p.3, 문단 2""]","[{""excerptKo"":""4) 신장장애 또는 그 병력이 있는 환자"",""itemSequence"":""198601920"",""locator"":""사용상의주의사항 PDF p.3, 문단 2"",""productName"":""어린이부루펜시럽(이부프로펜)"",""ruleId"":""OTC-RULE-008"",""sourceId"":""MFDS-NEDRUG-DETAIL"",""sourceVersion"":""sha256:56a65a632347d0b38b6b0707e872564af4c139683559beafa0f66c99bea322ba"",""url"":""https://nedrug.mfds.go.kr/dsie/pdf/drb/198601920/NB""}]"
OTC-RULE-009,gi_bleeding_ulcer,released,high,ibuprofen_gi_bleeding_or_ulcer,mapped_from_v50_released_rule,direct_product,1,198601920,"{""productItemSequences"":[""198601920""]}",1,1,198601920,MFDS-NEDRUG-DETAIL,sha256:56a65a632347d0b38b6b0707e872564af4c139683559beafa0f66c99bea322ba,https://nedrug.mfds.go.kr/dsie/pdf/drb/198601920/NB,"[""사용상의주의사항 PDF p.1, 문단 17""]","[{""excerptKo"":""3) 위장관계 위험: 이 약을 포함한 비스테로이드성 소염진통제 복용 시 위장관의 출혈, 궤양 및 천공(뚫림) 등 치명적일 수 있는 중대한 위장관계 이상반응이 나타날 수 있다."",""itemSequence"":""198601920"",""locator"":""사용상의주의사항 PDF p.1, 문단 17"",""productName"":""어린이부루펜시럽(이부프로펜)"",""ruleId"":""OTC-RULE-009"",""sourceId"":""MFDS-NEDRUG-DETAIL"",""sourceVersion"":""sha256:56a65a632347d0b38b6b0707e872564af4c139683559beafa0f66c99bea322ba"",""url"":""https://nedrug.mfds.go.kr/dsie/pdf/drb/198601920/NB""}]"
OTC-RULE-010,sedation_driving,released,high,pancol_a_driving,mapped_from_v50_released_rule,direct_product,1,196800036,"{""productItemSequences"":[""196800036""]}",1,1,196800036,MFDS-NEDRUG-DETAIL,sha256:4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,https://nedrug.mfds.go.kr/dsie/pdf/drb/196800036/NB,"[""사용상의주의사항 PDF p.3, 문단 8""]","[{""excerptKo"":""4) 복용하는 동안 졸음이 오는 경우가 있으므로 자동차 운전 또는 기계류의 운전 조작을 피할 것."",""itemSequence"":""196800036"",""locator"":""사용상의주의사항 PDF p.3, 문단 8"",""productName"":""판콜에이내복액"",""ruleId"":""OTC-RULE-010"",""sourceId"":""MFDS-NEDRUG-DETAIL"",""sourceVersion"":""sha256:4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d"",""url"":""https://nedrug.mfds.go.kr/dsie/pdf/drb/196800036/NB""}]"
