record_id,source,target_id,search_run_id,title,abstract_or_summary,year,journal_or_source,doi,pmid,url,raw_record_id,dedup_key,duplicate_of,is_duplicate
pubmed:42213695:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,pubmed,high_dose_vitd_calcium,pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,Effect of dietary Ca:P ratio on ionized calcium and calcium homeostasis in cats with early-stage chronic kidney disease.,"The aim of the study was to compare two renal foods with different Ca:P ratios on manifestation of hypercalcemia and regulation of calcium homeostasis in cats with chronic kidney disease (CKD). Nine cats (11.0 ± 2.0 y) with naturally-occurring IRIS Stage I or II CKD were fed a senior wellness food for 28-days, then randomized into two groups and fed either a food providing 1.8 g/Mcal Ca, 1.3 g/Mcal P, and Ca:P ratio of 1.4:1 (MOD-Ca:P), or a food providing 2.4 g/Mcal Ca, 1.3 g/Mcal P, and Ca:P ratio of 1.8:1 (HIGH-Ca:P) for 56 days. After a 28-day washout period, cats were crossed over to the other test food. Blood and urine samples were collected at the end of the prefeed/washout and on days 28 and 56 of each study period. Data were analyzed using a linear mixed model with fixed effects of Diet, Day, Period and associated interactions. At baseline, mean ionized calcium (iCa; 1.26 ± 0.03 mmol/L) was within the normal reference interval (1.10-1.40 mmol/L). Serum total Ca, phosphorus, calcitriol, and fractional excretion of calcium were not affected by diet and diet by day interaction (P > 0.050). There was a trend for increased fibroblast growth factor 23 (P = 0.058) and serum iCa (P = 0.067) in cats fed HIGH-Ca:P compared with MOD-Ca:P food, although iCa remained within the normal reference interval. Parathyroid hormone was reduced when cats were fed HIGH-Ca:P compared with cats fed MOD-Ca:P (P = 0.020), although concentrations were within the normal reference interval throughout the study. Fractional excretion of phosphorus was reduced when cats were fed HIGH-Ca:P compared with MOD-Ca:P (P = 0.050). Serum Cr and SDMA were higher on days 28 and 56 compared with baseline (P < 0.002). Higher dietary Ca and a higher Ca:P ratio may not be the sole drivers of hypercalcemia in cats with progressive CKD. However, the observed alterations in calcium homeostatic mechanisms warrant further research to identify strategies for mitigating hypercalcemia risk.",2026,PloS one,10.1371/journal.pone.0350414,42213695,https://pubmed.ncbi.nlm.nih.gov/42213695/,42213695,doi:10.1371/journal.pone.0350414,,false
pubmed:42182979:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,pubmed,high_dose_vitd_calcium,pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,Combined occurrence of cardiovascular and bone events in individuals with kidney stone disease.,"BACKGROUND: Kidney stone disease (KSD) has been linked to increased risk of adverse cardiovascular (CV) and bone events, raising the hypothesis of a shared pathogenic pathway. However, it is unclear whether these events commonly occur in the same stone-forming individual. We examined the occurrence of CV and bone events in individuals with a history of KSD and analyzed their characteristics.
METHODS: We analyzed three large prospective cohorts, the Health Professionals Follow-up Study (HPFS, men) and the Nurses' Health Study (NHS, women) I and II. Individuals with a self-reported diagnosis of KSD during follow-up and no previous CV or bone events at the time of KSD diagnosis were included in the study and followed until the development of a CV event (fatal or non-fatal myocardial infarction, coronary revascularization) and a bone event (fracture, osteoporosis); individuals who developed cancer or died were censored. Characteristics of stone formers experiencing only one event (CV or bone), both events, or none were compared using multinomial logistic regression models.
RESULTS: Our study included data from 14 709 individuals with KSD. In HPFS, 28.7% of the participants experienced at least one event: 17.4% a CV event, 8.5% a bone event and 2.8% both. In NHS I, 46.0% of the participants experienced at least one event: 7.3% a CV event, 32.8% a bone event and 5.9% both. In NHS II, 27.1% of the participants experienced at least one event: 2.0% a CV event, 23.9% a bone event and 1.1% both. Across cohorts, age, BMI, thiazide use, calcium and vitamin D supplementation, and prevalence of hypertension and diabetes did not identify specific high-risk subgroups.
CONCLUSION: CV and bone events are common in KSD; however, their co-occurrence in the same stone-forming individual is relatively rare. CV disease and bone disease are unlikely to share major risk factors in individuals with KSD.",2026,Clinical kidney journal,10.1093/ckj/sfag155,42182979,https://pubmed.ncbi.nlm.nih.gov/42182979/,42182979,doi:10.1093/ckj/sfag155,,false
pubmed:42181337:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,pubmed,high_dose_vitd_calcium,pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,Effectiveness of Immediate Oral Calcium Supplementation After Thyroidectomy on Early Postoperative Hypocalcemia: A Retrospective Study.,"BACKGROUND: Hypocalcemia is the most frequent complication following total thyroidectomy (TT), associated with neuromuscular symptoms and prolonged hospitalization. Although prophylactic oral calcium supplementation is commonly used to prevent postoperative hypocalcemia, its routine use remains debated.
OBJECTIVE: This study aimed to assess the effectiveness of immediate postoperative oral calcium supplementation in reducing the incidence of hypocalcemia following thyroidectomy.
METHODS: This single-center retrospective cohort study included patients who underwent TT or partial thyroidectomy (PT) between January 2018 and December 2022. Patients were categorized into two groups: those who received immediate postoperative oral calcium prophylaxis (most commonly calcium carbonate 500-1000 mg daily, with or without vitamin D, based on surgeon preference) and those who received standard care without prophylaxis. The primary outcome was hypocalcemia within 48 hours, defined as total serum calcium <8.5 mg/dL and/or the presence of clinical symptoms. Categorical variables were compared using the chi-square test, and statistical significance was set at p < 0.05.
RESULTS: Seventy-four patients were initially screened; 72 patients (mean age: 44.9 ± 12 years; 82.4% female) were included in the final analysis after excluding two with missing postoperative data. Among them, 21 received calcium prophylaxis and 51 received standard care. Hypocalcemia occurred in 0% of patients in the prophylaxis group compared to 35.3% in the control group (p = 0.002). Stratified analysis of the high-risk TT group (n=52) showed a significant reduction in hypocalcemia from 54.5% (18/33) in the control group to 0% (0/19) in the prophylaxis group (p < 0.001). No adverse events related to calcium supplementation were observed.
CONCLUSIONS: Immediate postoperative oral calcium supplementation significantly reduces early postoperative hypocalcemia after thyroidectomy. Given its safety, low cost, and clinical effectiveness, routine calcium prophylaxis should be considered as part of standardized postoperative care. Further prospective multicenter trials are warranted to validate these findings.",2026,Cureus,10.7759/cureus.107612,42181337,https://pubmed.ncbi.nlm.nih.gov/42181337/,42181337,doi:10.7759/cureus.107612,,false
pubmed:42179277:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,pubmed,high_dose_vitd_calcium,pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,"Dual Effects of Nicotinamide on Aging-Related Arrhythmia: Protective at Low Dose, Proarrhythmic at Higher Doses.","BACKGROUND: Cardiac arrhythmia and dysfunction increase with age and are closely associated with declining nicotinamide adenine dinucleotide levels. Nicotinamide, a critical nicotinamide adenine dinucleotide precursor, has shown protective effects in experimental models of aging-related cardiac diseases. However, its dose-dependent cardiac-specific adverse effects and underlying mechanisms warrant investigation.
METHODS: The effects of nicotinamide (10-100 mmol/L) on the contractility and calcium transient of HL-1 cardiomyocytes, lifespan, and cardiac function of Drosophila, as well as arrhythmia susceptibility of ex vivo Langendorff mouse hearts were assessed. SERCA2a (sarcoplasmic/endoplasmic reticulum Ca2+-ATPase 2a) acetylation was analyzed by immunoprecipitation followed by Western blotting.
RESULTS: Acute perfusion with 10 mmol/L nicotinamide had limited influence on aging-related atrial fibrillation susceptibility in ex vivo mouse and Drosophila hearts. Short-term dietary nicotinamide (10 mmol/L) in late life protected against aging-induced arrhythmia and contractile dysfunction exclusively in male Drosophila. In contrast, lifelong exposure or doses >20 mmol/L caused dose-dependent adverse cardiac effects, including impaired contractility and calcium transient amplitude and kinetics in HL-1 cardiomyocyte and shortened lifespan in Drosophila, with impaired excitability and increased arrhythmia in both models. In ex vivo mouse hearts, 100 mmol/L nicotinamide induced ventricular arrhythmia and cardiac arrest.
CONCLUSIONS: Nicotinamide exhibits dual effects on aging-related arrhythmia and cardiac dysfunction, with its efficacy highly dependent on dose, duration, and biological context. Although a moderate dose in late life may be protective, chronic or excessive intake induces arrhythmia and impairs cardiac function across species, likely through disrupted cardiac excitability and dysregulated calcium handling. These findings underscore the importance of cautious and context-specific application of nicotinamide in clinical settings.",2026,Journal of the American Heart Association,10.1161/JAHA.125.046761,42179277,https://pubmed.ncbi.nlm.nih.gov/42179277/,42179277,doi:10.1161/jaha.125.046761,,false
pubmed:42158881:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,pubmed,high_dose_vitd_calcium,pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,The gut-kidney axis in calcium oxalate nephrolithiasis: Nutritional and microbial insights.,"Calcium oxalate (CaOx) nephrolithiasis is the most common type of kidney stone disease worldwide. Recent studies show that its development cannot be explained solely by renal solute handling; instead, it reflects a broader interaction between dietary habits, the intestinal microbiota, and host metabolic responses. Intestinal absorption of calcium and oxalate-two central drivers of lithogenesis-is shaped by both microbial composition and dietary patterns. Although Oxalobacter formigenes was initially regarded as the main oxalate-degrading organism, newer studies indicate that a wider disturbance of the gut microbiota, especially the loss of short-chain fatty acid (SCFA)-producing species, may increase susceptibility to stone formation. In this review, nutritional, microbial, and mechanistic evidence is brought together to examine how diet-particularly salt, animal protein, calcium, oxalate, fruits, vegetables, and water intake-modulates the gut-kidney axis. Diets high in salt or animal protein tend to shift the microbiota toward more pro-inflammatory and acidogenic profiles, while fiber-rich, plant-based diets and adequate hydration appear to support microbial diversity, SCFA production, and epithelial barrier integrity. Probiotic and synbiotic interventions have also gained attention as potential strategies to reduce stone recurrence by targeting gut microbial function. Taken together, current findings suggest that the gut-kidney axis is a dynamic metabolic link between diet, microbial ecology, and renal physiology. Future studies combining multi-omics methods with personalized nutritional approaches may help develop more effective microbiota-based prevention and treatment strategies for CaOx nephrolithiasis.",2026,Northern clinics of Istanbul,10.14744/nci.2026.64392,42158881,https://pubmed.ncbi.nlm.nih.gov/42158881/,42158881,doi:10.14744/nci.2026.64392,,false
pubmed:42151904:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,pubmed,high_dose_vitd_calcium,pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,Biochemical composition and demographic distribution of kidney stones: a hospital-based cross-sectional study in Eastern Nepal.,"BACKGROUND: Nephrolithiasis is a major urological condition globally, with an increasing prevalence linked to shifting dietary patterns and climatic changes. In Nepal, the growing number of kidney stone cases presents a substantial challenge to the healthcare system. Understanding the chemical nature of these stones and their relationship with demographic factors and systemic biochemical markers is essential for developing effective localized clinical management and prevention strategies.
OBJECTIVE: This study aims to analyze the biochemical composition of kidney stones and evaluate their demographic distribution among patients at a tertiary care center in Eastern Nepal.
METHODS: A descriptive hospital-based cross-sectional study was conducted at the B.P. Koirala Institute of Health Sciences (BPKIHS), Dharan. The study included final 111 patients who underwent surgical intervention for urolithiasis. The stone composition was determined using standard qualitative inorganic chemical analysis techniques. Statistical analysis was performed using SPSS version 11.5, employing Chi-square tests to assess associations.
RESULTS: The study population showed a male predominance, with males comprising 57.7% and females 42.3%, resulting in a male-to-female ratio of 1.36:1. The mean age of participants was 43.51 ± 13.72 years, with the highest prevalence in the 31-45 age group (48.6%). Chemical analysis revealed that calcium oxalate was the most prevalent stone type (59.5%), followed by calcium phosphate (12.6%), struvite (11.7%), and mixed stones (10.8%). Uric acid and cystine stones were least common (2.7% each). Urinary pH was significantly associated with stone composition (p = 0.01), with acidic pH favoring Calcium Oxalate and alkaline pH favoring Calcium Phosphate. Struvite stones exhibited the largest dimensions (median 20 mm).
CONCLUSION: Calcium oxalate is the main constituent of kidney stones in Eastern Nepal, with a higher occurrence in males and individuals aged 31-45 years, particularly from the Terai region. Urinary pH showed a significant association with stone composition. Struvite stones were associated with larger stone size. These findings highlight the importance of routine stone analysis and urinary pH evaluation for targeted prevention and personalized management of nephrolithiasis.",2026,BMC nephrology,10.1186/s12882-026-05030-9,42151904,https://pubmed.ncbi.nlm.nih.gov/42151904/,42151904,doi:10.1186/s12882-026-05030-9,,false
pubmed:42147788:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,pubmed,high_dose_vitd_calcium,pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,Long-term citrate treatment in high-risk kidney stone formers is not associated with metabolic adverse effects.,"BACKGROUND: Citrate is frequently applied in kidney stone formers (KSFs), yet long-term safety data are lacking. We evaluated the effects of prolonged citrate therapy on metabolic health, urinary risk factors and stone recurrence in high-risk KSFs in Switzerland.
METHODS: The Swiss Kidney Stone Cohort (SKSC) is a multicenter study including KSFs and controls. Blood and urine analyses were performed at baseline and longitudinally over 2 years in KSFs, with subsequent telephone follow-up for stone events. A total of 654 KSFs (110 with citrate, 544 without) and 207 controls were included. Outcomes comprised anthropometric indices (body mass index, body roundness index, waist-to-hip ratio), metabolic parameters, urinary relative supersaturation ratios (RSR), stone recurrence and stone composition.
RESULTS: No evidence for between-group differences in 1- to 2-year changes in anthropometric, glucose or lipid outcomes was identified. Anthropometric indices remained stable in both groups. HbA1c rose in non-citrate (NC) but not in citrate (C) group patients. High-density lipoprotein (HDL) cholesterol increased in both groups, while low-density lipoprotein (LDL) decreased only in C patients. Propensity score-matched analyses showed no between-group differences in 1- to 2-year changes in anthropometric, glucose or lipid outcomes, with only modest within-group changes in the C group (hemoglobin A1c, HDL- and LDL-cholesterol). Urine analyses showed a greater reduction in RSR for brushite among NC patients, whereas C patients had a stronger decline in uric acid (UA) RSR. Calcium oxalate RSR decreased similarly across groups. Stone recurrence was more frequent in C patients, with 43% versus 30% of NC patients changing stone type during follow-up. No shift toward calcium phosphate stones was observed in citrate users.
CONCLUSIONS: Long-term citrate therapy appeared metabolically safe, and selectively reduced UA supersaturation, while non-treated patients showed a more pronounced decrease for brushite. Higher recurrence among treated patients may reflect different baseline risk. A prospective trial is warranted to clarify additive benefits of citrate beyond dietary-guided counseling.",2026,Clinical kidney journal,10.1093/ckj/sfag058,42147788,https://pubmed.ncbi.nlm.nih.gov/42147788/,42147788,doi:10.1093/ckj/sfag058,,false
pubmed:42147385:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,pubmed,high_dose_vitd_calcium,pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,Transcervical video-assisted mediastinoscopy for resection of an ectopic parathyroid adenoma in the mediastinum: a case report.,"BACKGROUND: Mediastinal ectopic parathyroid adenoma (MEPA) presents significant difficulties in both preoperative localization and surgical management due to its deep mediastinal location and close relationship to critical surrounding structures. Traditional surgical approaches, such as median sternotomy or thoracotomy, are often necessary but are associated with considerable surgical morbidity. Currently, minimally invasive options for resecting deeply located mediastinal parathyroid lesions are limited and remain technically challenging.
CASE PRESENTATION: We report a rare case of primary hyperparathyroidism (PHPT) in a 37-year-old male presenting with persistent hypercalcemia and elevated parathyroid hormone (PTH) levels, caused by a mediastinal ectopic parathyroid adenoma located in the aortopulmonary (AP) window. While initial imaging modalities failed to localize the lesion, it was successfully identified using 99mTc-sestamibi (99mTc-MIBI) SPECT/CT. The patient underwent transcervical video-assisted mediastinoscopy (VAM), and complete resection of the adenoma was confirmed via intraoperative parathyroid hormone (ioPTH) monitoring. The postoperative course was marked by transient hypocalcemia and rebound PTH elevation attributed to hungry bone syndrome. Following titrated oral calcium and calcitriol supplementation, sustained biochemical remission was achieved at the 3-month follow-up.
CONCLUSIONS: This case highlights the diagnostic challenges of mediastinal ectopic parathyroid adenomas, advocating for 99mTc-MIBI SPECT/CT for definitive localization when cervical imaging is inconclusive. Transcervical VAM offers a viable and advantageous, minimally invasive approach for accessing carefully selected lesions in the AP window, with ioPTH monitoring essential to confirm successful resection. Additionally, careful monitoring for postoperative hungry bone syndrome is necessary to ensure sustained biochemical remission.",2026,Frontiers in surgery,10.3389/fsurg.2026.1803289,42147385,https://pubmed.ncbi.nlm.nih.gov/42147385/,42147385,doi:10.3389/fsurg.2026.1803289,,false
pubmed:42146312:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,pubmed,high_dose_vitd_calcium,pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,A Modern-Day Captain Charles Martell: Catastrophic Skeletal Manifestations of Primary Hyperparathyroidism.,"Primary hyperparathyroidism (PHPT) is characterised by autonomous overproduction of parathyroid hormone (PTH), resulting in hypercalcemia and multisystem complications. Although routine calcium screening has reduced advanced skeletal disease in many regions, severe manifestations such as osteitis fibrosa cystica (OFC) still occur in resource-limited settings. We report a case of a woman in her 30s who presented with profound disability after 4-5 years of progressive bone pain, fatigue, proximal myopathy and eventual loss of independent ambulation, requiring her to drag herself on the ground. Imaging revealed generalised osteopenia, subperiosteal bone resorption, a 'salt and pepper' appearance of the skull, codfish vertebrae, anterior bowing of long bones and multiple lytic lesions consistent with advanced OFC. Laboratory investigations revealed marked hypercalcemia (14.3 mg/dL), hypophosphataemia (1.49 mg/dL), elevated alkaline phosphatase (781 U/L) and elevated intact PTH (iPTH) (1110 pg/mL), confirming PTH-dependent hypercalcemia. A 4D-CT scan localised a left inferior parathyroid adenoma (LIPA), and a renal ultrasound showed bilateral nephrocalcinosis. Following preoperative stabilisation with saline diuresis and intravenous zoledronic acid, she underwent minimally invasive parathyroidectomy (MIP) with an immediate postoperative fall in PTH, indicating biochemical cure. However, she developed hungry bone syndrome (HBS), requiring intensive intravenous and oral calcium supplementation along with active vitamin D therapy. This case highlights the catastrophic skeletal consequences of delayed PHPT diagnosis. It underscores the importance of early recognition of metabolic bone disease to prevent irreversible disability and systemic complications, particularly in low-resource settings.",2026,Case reports in endocrinology,10.1155/crie/1352595,42146312,https://pubmed.ncbi.nlm.nih.gov/42146312/,42146312,doi:10.1155/crie/1352595,,false
pubmed:42145024:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,pubmed,high_dose_vitd_calcium,pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,Overdiagnosed and Oversupplemented: The Iatrogenic Rise of Vitamin D Toxicity.,"Spanish pharmacovigilance alerts have highlighted vitamin D overdosing. We retrospectively analysed adult serum 25(OH)D results from a Barcelona tertiary hospital (2020-2025), measured using a VDSCP-certified immunoassay. For results >100 ng/mL (250 nmol/L), concomitant calcium, phosphorus, albumin, alkaline phosphatase and parathyroid hormone were retrieved. Hypercalcaemia was defined as albumin-corrected calcium >10.5 mg/dL. Among 185,604 results, annual testing increased by 54.1% and median 25(OH)D rose from 25.3 to 28.6 ng/mL. Very high results more than doubled (31 [0.14%] to 108 [0.31%]; n=393). Calcium was available in 324/393 results, and hypercalcaemia occurred in 14/324 (4.3%). Calcifediol was documented in 183/201 (91.0%) hypervitaminosis D patients with available supplementation data and in 12/14 (85.7%) hypercalcaemic cases, often in short-interval dosing regimens. Rapid test growth paralleled a rightward shift and expanding high-concentration tail, supporting evidence-based requesting, clearer intermittent-dosing and supplementation instructions, and selective serum calcium surveillance when 25(OH)D is greatly elevated.",2026,European journal of endocrinology,10.1093/ejendo/lvag088,42145024,https://pubmed.ncbi.nlm.nih.gov/42145024/,42145024,doi:10.1093/ejendo/lvag088,,false
