"evidence_candidate_id","rule_id","rule_type","product_name","item_sequence","current_scope","semantic_relation","recommended_status","proposed_trigger","expected_decision_ko","decision_reason_ko","expert_question_ko"
"SAFE-OTC-04-NB-P1-B12-duplicate_ingredient","OTC-RULE-001","duplicate_ingredient","어린이타이레놀현탁액(아세트아미노펜)","202200525","acetaminophen_containing_selected_products","direct_same_scope","provisional","item_sequence=202200525인 제품과 다른 ING-acetaminophen 제품이 함께 선택되고 두 제품의 성분 단위가 합산 가능함","아세트아미노펜 중복 경고를 표시하고 함께 복용하지 않도록 안내한다.","제품 성분은 ING-acetaminophen이고 원문 문단 11~12는 다른 아세트아미노펜 함유 제품과의 병용을 직접 금지한다. 후보 locator 문단 12는 줄바꿈 때문에 성분명 앞부분이 빠져 있어 보정 전에는 운영 근거로 쓸 수 없다.","문단 11~12를 한 문장 범위로 묶고 이 제품이 포함된 아세트아미노펜 중복 판정의 제품별 보조 근거로 채택할 것인가?"
"SAFE-OTC-10-NB-P1-B12-duplicate_ingredient","OTC-RULE-001","duplicate_ingredient","판콜에이내복액","196800036","acetaminophen_containing_selected_products","direct_same_scope","provisional","item_sequence=196800036인 제품과 다른 ING-acetaminophen 제품이 함께 선택되고 두 제품의 성분 단위가 합산 가능함","아세트아미노펜 중복 경고를 표시하고 함께 복용하지 않도록 안내한다.","판콜에이내복액에는 ING-acetaminophen이 포함되고 원문 문단 11~12는 다른 아세트아미노펜 함유 제품과의 병용을 직접 금지한다. 후보 locator 문단 12는 줄바꿈 때문에 성분명 앞부분이 빠져 있어 보정 전에는 운영 근거로 쓸 수 없다.","문단 11~12를 한 문장 범위로 묶고 이 제품이 포함된 아세트아미노펜 중복 판정의 제품별 보조 근거로 채택할 것인가?"
"EXP-OTC-01-NB-P1-B3-duplicate_pharmacologic_class","OTC-RULE-002","duplicate_pharmacologic_class","덱스피드연질캡슐(덱시부프로펜)","201110646","ibuprofen_and_other_NSAIDs","duplicate_context","rejected","없음. 이 후보를 duplicate_pharmacologic_class 판정에 연결하지 않음","이 후보로 NSAID 계열 중복 경고를 만들지 않는다.","덱시부프로펜은 NSAID이지만 원문 문단 3~4는 매일 3잔 이상 음주자가 이 약이나 다른 해열진통제를 복용할 때 상담하라는 경고다. 같은 원문 문단 3은 OTC-RULE-011의 음주 후보로도 수집됐으며 NSAID 병용 금지를 말하지 않는다.","이 제품의 다른 허가원문에서 다른 NSAID와의 병용 금지 문구를 별도로 찾을 것인가?"
"EXP-OTC-02-NB-P1-B3-duplicate_pharmacologic_class","OTC-RULE-002","duplicate_pharmacologic_class","낙센정(나프록센)","197500016","ibuprofen_and_other_NSAIDs","duplicate_context","rejected","없음. 이 후보를 duplicate_pharmacologic_class 판정에 연결하지 않음","이 후보로 NSAID 계열 중복 경고를 만들지 않는다.","나프록센은 NSAID이지만 원문 문단 3~4는 매일 3잔 이상 음주자가 이 약이나 다른 해열진통제를 복용할 때 상담하라는 경고다. 같은 원문 문단 3은 OTC-RULE-011의 음주 후보로도 수집됐으며 NSAID 병용 금지를 말하지 않는다.","이 제품의 다른 허가원문에서 다른 NSAID와의 병용 금지 문구를 별도로 찾을 것인가?"
"SAFE-OTC-04-NB-P1-B10-max_daily_dose","OTC-RULE-003","max_daily_dose","어린이타이레놀현탁액(아세트아미노펜)","202200525","acetaminophen_tylenol500_age_12_plus","potential_product_extension","needs_expert_review","검토안: item_sequence=202200525 AND 아세트아미노펜 하루 총량>4000mg. 연령·체중별 75mg/kg 기준과 함께 적용하기 전에는 비활성","계산된 하루 총량이 4000mg을 넘으면 추가 복용하지 않도록 안내한다.","원문 문단 10~12는 아세트아미노펜 4000mg 일일 상한을 말하지만 현재 범위는 타이레놀정500의 만 12세 이상 사용자다. 어린이 현탁액은 75mg/kg와 1일 5회 기준이 있어 4000mg만 단순 확장하면 소아 기준을 과도하게 넓힌다.","4000mg을 소아 전 연령의 절대 상한으로 사용할 수 있는가, 아니면 75mg/kg와 연령·체중별 상한 중 더 낮은 값과 함께만 판정해야 하는가?"
"SAFE-OTC-05-UD-P1-B10-max_daily_dose","OTC-RULE-003","max_daily_dose","어린이부루펜시럽(이부프로펜)","198601920","acetaminophen_tylenol500_age_12_plus","wrong_scope","rejected","없음. 이 후보를 OTC-RULE-003 판정에 연결하지 않음","이 후보로 아세트아미노펜 4000mg 초과 판정을 만들지 않는다.","제품 성분은 ING-ibuprofen이고 후보 문단 10은 어린이 용량표의 제목일 뿐 기준값과 연령·체중 구간을 포함하지 않는다. 아세트아미노펜 타이레놀정500 범위와 성분·제품·조건이 모두 다르다.","이부프로펜 소아 용량표 전체를 별도 연령·체중 기반 규칙으로 다시 추출할 것인가?"
"EXP-OTC-02-UD-P1-B3-minimum_interval","OTC-RULE-004","minimum_interval","낙센정(나프록센)","197500016","tylenol500_age_12_plus","potential_product_extension","needs_expert_review","검토안: item_sequence=197500016 AND 성인 AND 적응증이 류마티양 관절염·골관절염·강직성 척추염 중 하나 AND 이전 복용 후 12시간 미만","해당 적응증에서는 이전 복용 후 12시간이 지나기 전에 다음 용량을 복용하지 않도록 안내한다.","원문 문단 3의 12시간 간격은 낙센정 성인의 특정 적응증 용법이다. 현재 엔진은 적응증을 입력받지 않으므로 낙센정 전체에 12시간을 적용하면 다른 허가 용법까지 잘못 제한할 수 있다.","적응증 입력 없이 12시간 기준을 낙센정 전체 용법에 적용해도 되는가, 아니면 적응증 선택을 추가해야 하는가?"
"SAFE-OTC-04-UD-P1-B3-minimum_interval","OTC-RULE-004","minimum_interval","어린이타이레놀현탁액(아세트아미노펜)","202200525","tylenol500_age_12_plus","duplicate_context","rejected","없음. 기존 ADMIN-202200525-MIN-INTERVAL 조건을 유지함","기존 복용조건이 4시간 미만 간격을 이미 경고하므로 새 규칙 판정을 만들지 않는다.","원문은 어린이 현탁액의 4~6시간 간격을 직접 지지하지만 현재 런타임이 같은 제품에 minimum_interval_hours=4를 이미 연결한다. 이 행을 별도 규칙 후보로 쓰면 같은 조건과 근거를 중복 관리한다.","기존 복용조건의 근거 표시만 유지하고 이 별도 규칙 후보는 기각해도 되는가?"
"EXP-OTC-01-NB-P1-B23-age_restriction","OTC-RULE-005","age_restriction","덱스피드연질캡슐(덱시부프로펜)","201110646","tylenol500_minimum_age_12","wrong_scope","rejected","없음. 이 후보를 minimum_age 판정에 연결하지 않음","이 후보로 최소 연령 제한을 만들지 않는다.","원문 문단 23은 고령자에서 위장관계 이상반응 위험이 더 클 수 있다는 설명의 일부다. 최소 복용 연령이나 연령별 용량 제한을 제시하지 않으며 현재 타이레놀정500 만 12세 범위와도 다르다.","완결된 고령자 주의 문구를 별도 노인 위험 규칙 후보로 수집할 필요가 있는가?"
"EXP-OTC-02-NB-P1-B14-age_restriction","OTC-RULE-005","age_restriction","낙센정(나프록센)","197500016","tylenol500_minimum_age_12","wrong_scope","rejected","없음. 이 후보를 minimum_age 판정에 연결하지 않음","이 후보로 최소 연령 제한을 만들지 않는다.","원문 문단 14는 고령자에서 위장관계 이상반응 위험이 더 클 수 있다는 설명의 일부다. 최소 복용 연령이나 연령별 용량 제한을 제시하지 않으며 현재 타이레놀정500 만 12세 범위와도 다르다.","완결된 고령자 주의 문구를 별도 노인 위험 규칙 후보로 수집할 필요가 있는가?"
