record_id,pmid,clinical_node_candidates,ai_decision,ai_confidence_basis,ai_rationale,exclusion_flags,reviewer_id,review_status,human_confirmation_required
pubmed:10070911:K3,10070911,K3,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:11291056:K4,11291056,K4,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:12939387:K1,12939387,K1,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:14725411:K5,14725411,K5,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:15579526:K1,15579526,K1,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:15747448:K1,15747448,K1,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:15809508:K1,15809508,K1,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:16034900:K1,16034900,K1,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:16192262:K5,16192262,K5,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:16279906:K3,16279906,K3,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:16735647:K3,16735647,K3,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:16886663:K1,16886663,K1,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:16886675:K1,16886675,K1,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:17054261:K4,17054261,K4,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:17227802:K1,17227802,K1,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:17263129:K3,17263129,K3,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:17525910:K3,17525910,K3,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
pubmed:17691593:K3,17691593,K3,ai_include_candidate,score=11; proposal=priority_include_candidate,design+exposure+outcome signals,,codex_ai,ai_reviewed_not_human,true
