chunk_id,source_id,ingredient_ids,locator_type,locator_value,excerpt_summary_ko,claim_type,structured_claim,confidence,notes_ko
CHK-KR-KDRI-2025-41NUTRIENTS,SRC-KR-MOHW-KDRI-2025-PR,,lines,L796-L817,"2025 한국인 영양소 섭취기준은 41개 영양소에 대해 연령·성별·생애주기 기준을 제공하며, 체계적 문헌평가를 거쳐 확정되었다.",reference_framework,"{""nutrients_count"": 41, ""dimensions"": [""age"", ""sex"", ""life_stage""]}",high,국내 기준 프레임워크의 최상위 anchor source.
CHK-KR-MFDS-HFF-NOTICE-CATALOG,SRC-KR-MFDS-HFF-NOTICE-2025-11,,lines,L722-L736,"식약처 고시 제2025-11호는 건강기능식품의 기준 및 규격 최신 개정고시이며, 성분별 1일 섭취량·표시·주의사항 근거의 기본 진입점이다.",regulatory_anchor,"{""notice_no"": ""2025-11"", ""revised_at"": ""2025-03-05""}",high,세부 nutrient row 직접 파싱은 차기 단계.
CHK-KR-FOODSAFETY-CAUTION-BOARD,SRC-KR-FOODSAFETY-CAUTION-BOARD,,lines,L8-L23,식품안전나라에는 건강기능식품 섭취 주의사항과 의약품 병용 섭취 주의사항 게시판이 존재한다.,regulatory_anchor,"{""contains"": [""섭취 주의사항"", ""의약품 병용 섭취 주의사항""]}",high,
CHK-US-ODS-UL-DEFINITION,SRC-US-ODS-NUTRIENT-REC,,lines,L112-L114,UL은 일반적으로 유해 영향 가능성이 낮다고 보는 최대 일일 섭취량으로 정의된다.,definition,"{""term"": ""UL"", ""definition"": ""Maximum daily intake unlikely to cause adverse health effects.""}",high,
CHK-EU-EFSA-UL-DEFINITION,SRC-EU-EFSA-UL-SUMMARY-2025,,lines,P0 L1-L8,EFSA UL summary report v11(2025)은 UL을 만성 총일일섭취량의 최대 수준으로 정의한다.,definition,"{""term"": ""UL"", ""definition_scope"": ""total chronic daily intake from all dietary sources""}",high,
CHK-VITA-UL-US,SRC-US-ODS-VITAMIN-A,vitamin_a_preformed,lines,L285-L293,"프리폼드 비타민 A의 성인 UL은 3,000 mcg/day이며, 이 UL은 retinol/retinyl ester에만 적용되고 beta-carotene에는 직접 적용되지 않는다.",dose_limit,"{""jurisdiction"": ""US"", ""age_min"": 19, ""max_daily_intake"": 3000, ""unit"": ""mcg RAE/day"", ""scope"": ""preformed_only""}",high,
CHK-VITA-PREG-CAUTION,SRC-US-ODS-VITAMIN-A,vitamin_a_preformed,lines,pregnancy warning / ODS lines around L276-L280,"임신 중이거나 임신 가능성이 있는 경우 비타민 A 보충제를 3,000 mcg RAE(10,000 IU) 초과로 복용하지 않도록 주의해야 한다.",pregnancy_lactation,"{""pregnancy"": ""required"", ""avoid_over"": 3000, ""unit"": ""mcg RAE/day""}",medium,ODS pregnancy caution lines 기반. 정확한 line locator는 후속 재추출 가능.
CHK-BETACAR-SMOKER-RISK-ATBC,SRC-PMID-8127329,beta_carotene,abstract,PubMed abstract results/conclusion,남성 흡연자 RCT에서 beta-carotene 20 mg/day 보충은 폐암 발생 증가(18%)와 총사망 증가를 시사했다.,adverse_effect_signal,"{""population"": ""male smokers"", ""dose"": 20, ""unit"": ""mg/day"", ""risk"": ""increased_lung_cancer""}",high,
CHK-BETACAR-SMOKER-RISK-GENERAL,SRC-US-ODS-VITAMIN-A,beta_carotene,lines,lung cancer caution / ODS safety section,ODS는 흡연자·과거 흡연자·석면 노출자에서 beta-carotene 고용량 보충이 폐암 위험 증가와 연관될 수 있음을 경고한다.,population_caution,"{""smoking_status_any"": [""current"", ""former""], ""exposure_any"": [""asbestos""], ""avoid_high_dose"": true}",medium,
CHK-VITD-UL-US,SRC-US-ODS-VITAMIN-D,vitamin_d,lines,L473-L505,"성인 비타민 D UL은 100 mcg/day(4,000 IU/day)이다.",dose_limit,"{""jurisdiction"": ""US"", ""age_min"": 19, ""max_daily_intake"": 100, ""unit"": ""mcg/day"", ""alt_unit"": ""4000 IU/day""}",high,
CHK-VITD-THIAZIDE,SRC-US-ODS-VITAMIN-D,vitamin_d,lines,interaction section around thiazide diuretics,thiazide 이뇨제와 vitamin D를 같이 쓰면 특히 고령·신기능장애·부갑상선기능항진 환자에서 고칼슘혈증 위험이 커질 수 있다.,interaction,"{""medications_any"": [""thiazide diuretic"", ""hydrochlorothiazide"", ""chlorthalidone""], ""risk"": ""hypercalcemia""}",medium,
CHK-VITD-ORLISTAT,SRC-US-ODS-VITAMIN-D,vitamin_d,lines,interaction section around orlistat,orlistat은 vitamin D 흡수를 감소시킬 수 있어 혈중 25(OH)D 상태와 보충 계획을 재검토해야 한다.,interaction,"{""medications_any"": [""orlistat""], ""effect"": ""reduced_absorption""}",high,
CHK-CALCIUM-UL-US,SRC-US-ODS-CALCIUM,calcium,lines,L361-L370,"칼슘 성인 UL은 19–50세 2,500 mg/day, 51세 이상 2,000 mg/day이다.",dose_limit,"{""jurisdiction"": ""US"", ""age_bands"": [{""min"": 19, ""max"": 50, ""max_daily_intake"": 2500}, {""min"": 51, ""max"": 200, ""max_daily_intake"": 2000}], ""unit"": ""mg/day""}",high,
CHK-CALCIUM-LEVOTHYROXINE,SRC-US-ODS-CALCIUM,calcium,lines,interaction section around levothyroxine,칼슘탄산염은 levothyroxine 흡수를 낮출 수 있어 일반적으로 4시간 이내 동시 복용을 피한다.,timing_separation,"{""medications_any"": [""levothyroxine""], ""separate_by_hours"": 4}",high,
CHK-CALCIUM-QUINOLONE,SRC-US-ODS-CALCIUM,calcium,lines,interaction section around quinolone antibiotics,칼슘 보충제는 quinolone 항생제 흡수를 감소시킬 수 있어 시간 간격을 둔다.,timing_separation,"{""medications_any"": [""quinolone antibiotic"", ""ciprofloxacin"", ""levofloxacin"", ""moxifloxacin""], ""separate_hint"": ""take antibiotic at least 2h before or 4-6h after calcium""}",medium,
CHK-MAG-UL-US,SRC-US-ODS-MAGNESIUM,magnesium_supplement,lines,L288-L304,보충제/의약품 유래 마그네슘의 성인 UL은 350 mg/day이다.,dose_limit,"{""jurisdiction"": ""US"", ""age_min"": 19, ""max_daily_intake"": 350, ""unit"": ""mg/day"", ""scope"": ""supplements_only""}",high,
CHK-MAG-UL-EU,SRC-EU-EFSA-UL-SUMMARY-2025,magnesium_supplement,table,EFSA summary magnesium row,EFSA는 readily dissociable magnesium salts in supplements 기준 성인 UL을 250 mg/day로 요약한다.,dose_limit,"{""jurisdiction"": ""EU"", ""age_min"": 19, ""max_daily_intake"": 250, ""unit"": ""mg/day"", ""scope"": ""supplements_only""}",high,
CHK-MAG-ABX,SRC-US-ODS-MAGNESIUM,magnesium_supplement,lines,L305-L307 + interaction detail,마그네슘은 tetracycline/quinolone 항생제와 결합해 흡수를 낮출 수 있어 시간 간격이 필요하다.,timing_separation,"{""medications_any"": [""tetracycline antibiotic"", ""quinolone antibiotic"", ""doxycycline"", ""minocycline"", ""ciprofloxacin"", ""levofloxacin""], ""separate_hint"": ""antibiotics 2h before or 4-6h after magnesium""}",medium,
CHK-MAG-BISPHOSPHONATE,SRC-US-ODS-MAGNESIUM,magnesium_supplement,lines,interaction section around oral bisphosphonates,마그네슘은 경구 bisphosphonate 흡수를 줄일 수 있어 투여 간격을 둔다.,timing_separation,"{""medications_any"": [""oral bisphosphonate"", ""alendronate"", ""risedronate""], ""separate_by_hours"": 2}",high,
CHK-IRON-UL-US,SRC-US-ODS-IRON,iron,lines,L314-L334,철의 성인 UL은 45 mg/day이다.,dose_limit,"{""jurisdiction"": ""US"", ""age_min"": 19, ""max_daily_intake"": 45, ""unit"": ""mg/day""}",high,
CHK-IRON-SAFELEVEL-EU,SRC-EU-EFSA-UL-SUMMARY-2025,iron,table,EFSA summary iron row,"EFSA는 성인/임신/수유에 대해 iron UL은 설정하지 않았고, safe level of intake 40 mg/day를 제시한다.",dose_limit,"{""jurisdiction"": ""EU"", ""age_min"": 19, ""safe_level_daily_intake"": 40, ""unit"": ""mg/day"", ""note"": ""not formal UL""}",high,
CHK-IRON-INTERACTIONS,SRC-US-ODS-IRON,iron,lines,L335-L337,"철 보충제는 levodopa, levothyroxine과 상호작용할 수 있고 proton pump inhibitor는 철 흡수를 줄일 수 있다.",interaction,"{""medications_any"": [""levodopa"", ""levothyroxine"", ""proton pump inhibitor"", ""omeprazole"", ""esomeprazole"", ""pantoprazole""], ""effects"": [""reduced_absorption"", ""reduced_drug_effect""]}",high,
CHK-IRON-CALCIUM-SPLIT,SRC-US-ODS-IRON,iron | calcium,lines,L214-L214,개별 calcium과 iron 보충제는 서로 흡수에 영향을 줄 수 있어 다른 시간대 복용을 제안한다.,timing_separation,"{""coingredient_any"": [""calcium""], ""separate_hint"": ""separate calcium and iron supplements""}",high,
CHK-FOLATE-UL-US,SRC-US-ODS-FOLATE,folic_acid,lines,L363-L371,"성인 folate UL은 1,000 mcg/day이며 supplements 또는 fortified foods의 folate에만 적용된다.",dose_limit,"{""jurisdiction"": ""US"", ""age_min"": 19, ""max_daily_intake"": 1000, ""unit"": ""mcg/day"", ""scope"": ""supplements_or_fortified_only""}",high,
CHK-FOLATE-B12-MASKING,SRC-US-ODS-FOLATE,folic_acid,lines,vitamin B12 deficiency caution section,고용량 folic acid는 vitamin B12 결핍의 빈혈 증상을 가려 신경학적 손상을 늦게 발견하게 만들 수 있다.,disease_caution,"{""diseases_any"": [""vitamin B12 deficiency suspected"", ""pernicious anemia""], ""risk"": ""masking_hematologic_signs""}",medium,
CHK-FOLATE-UL-EU,SRC-EU-EFSA-UL-SUMMARY-2025,folic_acid,lines,P3 folate row L108-L110 / L140,"EFSA도 supplements/fortified foods 유래 folate에 대해 성인 UL 1,000 mcg/day를 유지한다.",dose_limit,"{""jurisdiction"": ""EU"", ""age_min"": 19, ""max_daily_intake"": 1000, ""unit"": ""mcg/day"", ""scope"": ""supplements_or_fortified_only""}",high,
CHK-VITK-WARFARIN,SRC-US-ODS-VITAMIN-K,vitamin_k,lines,L259-L261,warfarin 등 항응고제를 쓰는 사람은 vitamin K 섭취량을 음식/보충제에서 일관되게 유지해야 하며 급격한 변화는 항응고 효과를 바꿀 수 있다.,interaction,"{""medications_any"": [""warfarin"", ""phenprocoumon"", ""acenocoumarol"", ""tioclomarol""], ""rule_mode"": ""consistency_required""}",high,
CHK-VITK-ORLISTAT,SRC-US-ODS-VITAMIN-K,vitamin_k,lines,orlistat interaction section,orlistat은 vitamin K 흡수를 줄일 수 있어 특히 warfarin 병용 시 INR 모니터링이 필요할 수 있다.,interaction,"{""medications_any"": [""orlistat""], ""effect"": ""reduced_absorption""}",medium,
CHK-OMEGA3-SAFE-UPTO5,SRC-US-ODS-OMEGA3,omega3_epa_dha,lines,L444-L445,IOM은 omega-3 UL을 따로 설정하지 않았지만 EFSA와 FDA는 EPA+DHA 합산 최대 약 5 g/day까지는 일반적으로 안전하다고 본다.,dose_limit,"{""jurisdiction"": ""US/EU"", ""safe_upper_practical"": 5000, ""unit"": ""mg/day"", ""note"": ""not formal UL""}",high,
CHK-OMEGA3-BLEEDING,SRC-US-ODS-OMEGA3,omega3_epa_dha,lines,L444-L445,EPA/DHA 2–15 g/day는 platelet aggregation 감소로 bleeding time을 늘릴 수 있다.,interaction,"{""dose_range"": ""2000-15000 mg/day"", ""risk"": ""increased_bleeding_time""}",high,
CHK-OMEGA3-WARFARIN,SRC-US-ODS-OMEGA3,omega3_epa_dha,lines,L451-L453,fish oil은 고용량에서 항혈소판 작용이 있고 warfarin과 함께 쓰면 INR 변화 가능성이 있어 주기적 모니터링이 권장된다.,interaction,"{""medications_any"": [""warfarin""], ""monitor"": ""INR""}",high,
CHK-OMEGA3-AF-ODS,SRC-US-ODS-OMEGA3,omega3_epa_dha,lines,L446-L446,4 g/day omega-3를 수년간 복용한 고위험 심혈관 환자에서 심방세동 위험이 약간 증가했다.,adverse_effect_signal,"{""population"": ""CVD_or_high_risk"", ""dose"": 4000, ""unit"": ""mg/day"", ""risk"": ""atrial_fibrillation""}",high,
CHK-OMEGA3-AF-META,SRC-PMID-34612056,omega3_epa_dha,abstract,PubMed abstract results/conclusion,메타분석에서 marine omega-3 보충은 AF 위험 증가와 연관되었고 >1 g/day 시험군에서 위험이 더 컸다.,systematic_review_finding,"{""risk"": ""atrial_fibrillation"", ""hr"": 1.25, ""high_dose_more_risk"": true}",high,
CHK-ZINC-UL-US,SRC-US-ODS-ZINC,zinc,lines,L332-L344,"아연 성인 UL은 40 mg/day이며, 근거는 copper status에 대한 악영향이다.",dose_limit,"{""jurisdiction"": ""US"", ""age_min"": 19, ""max_daily_intake"": 40, ""unit"": ""mg/day""}",high,
CHK-ZINC-ABX,SRC-US-ODS-ZINC,zinc,lines,L345-L347,아연은 quinolone/tetracycline 항생제와 상호작용할 수 있어 복용 간격 조정이 필요하다.,timing_separation,"{""medications_any"": [""quinolone antibiotic"", ""tetracycline antibiotic""], ""separate_hint"": ""2h before or 4-6h after""}",high,
CHK-ZINC-COPPER,SRC-US-ODS-ZINC,zinc,lines,UL rationale around copper status,고용량 zinc는 장기 복용 시 copper deficiency와 관련될 수 있어 장기 복용자는 copper status 모니터링이 필요하다.,monitoring,"{""risk"": ""copper_deficiency""}",medium,
CHK-SELENIUM-UL-US,SRC-US-ODS-SELENIUM,selenium,lines,L344-L357,"셀레늄 성인 UL은 400 mcg/day이며, selenosis의 대표 징후는 탈모와 손발톱 취약성/손실이다.",dose_limit,"{""jurisdiction"": ""US"", ""age_min"": 19, ""max_daily_intake"": 400, ""unit"": ""mcg/day""}",high,
CHK-SELENIUM-UL-EU,SRC-EU-EFSA-UL-SUMMARY-2025,selenium,table,EFSA summary selenium row,EFSA는 성인·임신·수유 셀레늄 UL을 255 mcg/day로 제시한다.,dose_limit,"{""jurisdiction"": ""EU"", ""age_min"": 19, ""max_daily_intake"": 255, ""unit"": ""mcg/day""}",high,
CHK-IODINE-UL-US,SRC-US-ODS-IODINE,iodine,lines,L321-L328,"요오드 성인 UL은 1,100 mcg/day이다.",dose_limit,"{""jurisdiction"": ""US"", ""age_min"": 19, ""max_daily_intake"": 1100, ""unit"": ""mcg/day""}",high,
CHK-IODINE-THYROID-DISEASE,SRC-US-ODS-IODINE,iodine,lines,thyroid disease caution section,요오드 결핍이나 자가면역 갑상선질환이 있는 사람은 일반적으로 안전하다고 여겨지는 섭취량에서도 부작용이 나타날 수 있다.,disease_caution,"{""diseases_any"": [""autoimmune thyroid disease"", ""iodine deficiency""], ""risk"": ""thyroid_dysfunction""}",medium,
CHK-IODINE-ANTITHYROID-ACEI,SRC-US-ODS-IODINE,iodine,lines,interaction section,"항갑상선제와 iodine 병용은 hypothyroidism 위험을 높일 수 있고, potassium iodide는 ACE inhibitor/칼륨보존성 이뇨제와 병용 시 hyperkalemia 위험이 있다.",interaction,"{""medications_any"": [""antithyroid drug"", ""methimazole"", ""propylthiouracil"", ""ACE inhibitor"", ""lisinopril"", ""enalapril"", ""potassium-sparing diuretic"", ""spironolactone""], ""risks"": [""hypothyroidism"", ""hyperkalemia""]}",medium,
CHK-NIACIN-UL-US,SRC-US-ODS-NIACIN,niacin,lines,L276-L285,supplemental niacin의 성인 UL은 35 mg/day이며 flushing 근거로 설정되었다.,dose_limit,"{""jurisdiction"": ""US"", ""age_min"": 19, ""max_daily_intake"": 35, ""unit"": ""mg/day"", ""scope"": ""supplemental_only""}",high,
CHK-NIACIN-HIGHDOSE-AE,SRC-US-ODS-NIACIN,niacin,lines,L267-L273,"1,000–3,000 mg/day nicotinic acid는 저혈압, 간독성, 고혈당, 위장관 이상, 통풍, 심방세동 등을 유발할 수 있어 간기능·혈당·요산 추적이 권장된다.",adverse_effect_signal,"{""dose_range"": ""1000-3000 mg/day"", ""risks"": [""hypotension"", ""hepatotoxicity"", ""hyperglycemia"", ""gout"", ""atrial_fibrillation""]}",high,
CHK-NIACIN-DIABETES-MEDS,SRC-US-ODS-NIACIN,niacin,lines,L294-L296,고용량 nicotinic acid는 혈당을 올릴 수 있어 항당뇨약 사용자에서는 모니터링이 필요하다.,interaction,"{""medications_any"": [""antidiabetes medication"", ""metformin"", ""insulin"", ""sulfonylurea""], ""monitor"": ""blood_glucose""}",high,
CHK-B6-UL-US,SRC-US-ODS-VITAMIN-B6,vitamin_b6,lines,L244-L253,비타민 B6의 미국 성인 UL은 100 mg/day이다.,dose_limit,"{""jurisdiction"": ""US"", ""age_min"": 19, ""max_daily_intake"": 100, ""unit"": ""mg/day""}",high,
CHK-B6-UL-EU,SRC-US-ODS-VITAMIN-B6,vitamin_b6,lines,L256-L257,ODS는 EFSA 2023 의견을 인용해 EFSA adult UL 12 mg/day를 소개한다.,dose_limit,"{""jurisdiction"": ""EU"", ""age_min"": 19, ""max_daily_intake"": 12, ""unit"": ""mg/day""}",high,
CHK-B6-NEUROPATHY,SRC-US-ODS-VITAMIN-B6,vitamin_b6,lines,L241-L245,장기간 고용량 pyridoxine은 감각신경병증을 유발할 수 있다.,adverse_effect_signal,"{""risk"": ""sensory_neuropathy""}",high,
CHK-SJW-NCCIH-INTERACTIONS,SRC-US-NCCIH-STJOHNSWORT,st_johns_wort,lines,L132-L147,"세인트존스워트는 여러 약물의 효과를 약화시키거나 serotonin 관련 부작용을 유발할 수 있으며, 특히 항우울제, 피임약, cyclosporine, 항경련제, 심장약, HIV약, 암약, warfarin, statin과 상호작용한다.",interaction,"{""medications_any"": [""antidepressant"", ""birth control pill"", ""cyclosporine"", ""phenytoin"", ""carbamazepine"", ""digoxin"", ""ivabradine"", ""indinavir"", ""nevirapine"", ""irinotecan"", ""imatinib"", ""docetaxel"", ""warfarin"", ""simvastatin""], ""risk"": ""major_interactions""}",high,
CHK-SJW-REVIEW-MECHANISM,SRC-PMID-31742659,st_johns_wort,abstract,PubMed abstract lines 274-276,"St. John's wort는 PXR 활성화로 CYP3A4와 P-gp를 유도해 cyclosporine, tacrolimus, indinavir, warfarin, alprazolam, simvastatin, oral contraceptives 등의 약동학을 바꿀 수 있다.",mechanistic_interaction,"{""mechanism"": [""PXR_activation"", ""CYP3A4_induction"", ""P-gp_induction""], ""medications_any"": [""cyclosporine"", ""tacrolimus"", ""indinavir"", ""warfarin"", ""alprazolam"", ""simvastatin"", ""oral contraceptive""]}",high,
CHK-SJW-PREGNANCY,SRC-US-NCCIH-STJOHNSWORT,st_johns_wort,lines,L146-L147,세인트존스워트는 임신 중 잠재적 위해 가능성이 있어 사용을 피하는 보수 규칙을 두는 것이 안전하다.,pregnancy_lactation,"{""pregnancy"": ""required"", ""decision"": ""avoid""}",medium,
CHK-RYR-MONACOLIN-VARIABILITY,SRC-US-NCCIH-REDYEASTRICE,red_yeast_rice,lines,L122-L128,홍국 제품의 monacolin K 함량은 매우 다양하고 라벨에 표시되지 않는 경우가 많아 제품 간 일관된 용량 판정이 어렵다.,quality_signal,"{""issue"": ""high_variability_in_active_constituent""}",high,
CHK-RYR-EFSA-NO-SAFE-LEVEL,SRC-US-NCCIH-REDYEASTRICE,red_yeast_rice,lines,L137-L143,EFSA 2018 의견에 따르면 red yeast rice 유래 monacolins는 심각한 부작용을 일으킬 수 있으며 보장된 안전 섭취수준을 특정할 수 없었다.,contraindication,"{""risk"": ""statin_like_toxicity"", ""safe_level_identified"": false}",high,
CHK-RYR-STATIN-LIKE-SIDES,SRC-US-NCCIH-REDYEASTRICE,red_yeast_rice,lines,L142-L151,"monacolin K가 많은 홍국 제품은 statin과 유사한 근육·신장·간 손상 및 약물상호작용 위험이 있고, citrinin 오염 및 임신·수유 비권장 이슈가 있다.",quality_signal,"{""risks"": [""muscle_damage"", ""kidney_damage"", ""liver_damage"", ""drug_interactions"", ""citrinin_contamination""], ""pregnancy_lactation"": ""not_recommended""}",high,
CHK-GTE-LIVER-INJURY,SRC-US-NCCIH-GREENTEA,green_tea_extract,lines,L134-L139,"음료형 녹차는 큰 안전성 문제가 없지만 녹차추출물 보충제는 오심, 복부불편, 혈압상승, 드물지만 간손상과 관련될 수 있다.",adverse_effect_signal,"{""form_scope"": ""extract_supplements"", ""risks"": [""nausea"", ""abdominal_discomfort"", ""increased_blood_pressure"", ""liver_injury""]}",high,
CHK-GTE-DRUG-INTERACTIONS,SRC-US-NCCIH-GREENTEA,green_tea_extract,lines,L136-L139,"녹차추출물은 nadolol, atorvastatin, raloxifene과 상호작용할 수 있다.",interaction,"{""medications_any"": [""nadolol"", ""atorvastatin"", ""raloxifene""]}",high,
CHK-GTE-HLA,SRC-US-NCCIH-GREENTEA,green_tea_extract,lines,"L136-L136, L180-L180",특정 면역관련 유전형(HLA-B*35:01)이 있는 사람에서 녹차추출물 유발 간손상 취약성이 더 클 수 있다.,genetic_caution,"{""genes_any"": [""HLA-B*35:01""], ""risk"": ""liver_injury""}",medium,
CHK-MELATONIN-PREG-OLDER,SRC-US-NCCIH-MELATONIN,melatonin,lines,L177-L197,"멜라토닌은 장기 안전성 정보가 부족하고, 임신·수유 중 안전성 연구가 부족하며, 고령자에서 낮 졸림이 생길 수 있다. 간질 또는 혈액희석제 사용자도 의료진 감독하 복용이 바람직하다.",pregnancy_lactation,"{""pregnancy"": ""required"", ""lactation"": ""required"", ""older_adult_caution"": true, ""medications_any"": [""blood thinner""], ""conditions_any"": [""epilepsy""]}",medium,
