evaluation_id,ingredient_id,ingredient_name_ko,decision,source_id,title,locator,chunk_id,summary_ko,url
EVAL-DEMO-001,beta_carotene,베타카로틴,avoid,SRC-PMID-8127329,The effect of vitamin E and beta carotene on the incidence of lung cancer and other cancers in male smokers,abstract: PubMed abstract results/conclusion,CHK-BETACAR-SMOKER-RISK-ATBC,남성 흡연자 RCT에서 beta-carotene 20 mg/day 보충은 폐암 발생 증가(18%)와 총사망 증가를 시사했다.,https://pubmed.ncbi.nlm.nih.gov/8127329/
EVAL-DEMO-001,beta_carotene,베타카로틴,avoid,SRC-US-ODS-VITAMIN-A,Vitamin A and Carotenoids - Health Professional Fact Sheet,lines: lung cancer caution / ODS safety section,CHK-BETACAR-SMOKER-RISK-GENERAL,ODS는 흡연자·과거 흡연자·석면 노출자에서 beta-carotene 고용량 보충이 폐암 위험 증가와 연관될 수 있음을 경고한다.,https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/
EVAL-DEMO-001,vitamin_k,비타민 K,warn,SRC-US-ODS-VITAMIN-K,Vitamin K - Health Professional Fact Sheet,lines: L259-L261,CHK-VITK-WARFARIN,warfarin 등 항응고제를 쓰는 사람은 vitamin K 섭취량을 음식/보충제에서 일관되게 유지해야 하며 급격한 변화는 항응고 효과를 바꿀 수 있다.,https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/
EVAL-DEMO-001,calcium,칼슘,warn,SRC-US-ODS-CALCIUM,Calcium - Health Professional Fact Sheet,lines: interaction section around levothyroxine,CHK-CALCIUM-LEVOTHYROXINE,칼슘탄산염은 levothyroxine 흡수를 낮출 수 있어 일반적으로 4시간 이내 동시 복용을 피한다.,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/
EVAL-DEMO-001,vitamin_d,비타민 D,avoid,SRC-US-ODS-VITAMIN-D,Vitamin D - Health Professional Fact Sheet,lines: L473-L505,CHK-VITD-UL-US,"성인 비타민 D UL은 100 mcg/day(4,000 IU/day)이다.",https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/
EVAL-DEMO-001,vitamin_d,비타민 D,avoid,SRC-US-ODS-VITAMIN-D,Vitamin D - Health Professional Fact Sheet,lines: interaction section around thiazide diuretics,CHK-VITD-THIAZIDE,thiazide 이뇨제와 vitamin D를 같이 쓰면 특히 고령·신기능장애·부갑상선기능항진 환자에서 고칼슘혈증 위험이 커질 수 있다.,https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/
EVAL-DEMO-001,omega3_epa_dha,오메가-3(EPA+DHA),warn,SRC-US-ODS-OMEGA3,Omega-3 Fatty Acids - Health Professional Fact Sheet,lines: L444-L445,CHK-OMEGA3-BLEEDING,EPA/DHA 2–15 g/day는 platelet aggregation 감소로 bleeding time을 늘릴 수 있다.,https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/
EVAL-DEMO-001,omega3_epa_dha,오메가-3(EPA+DHA),warn,SRC-US-ODS-OMEGA3,Omega-3 Fatty Acids - Health Professional Fact Sheet,lines: L451-L453,CHK-OMEGA3-WARFARIN,fish oil은 고용량에서 항혈소판 작용이 있고 warfarin과 함께 쓰면 INR 변화 가능성이 있어 주기적 모니터링이 권장된다.,https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/
EVAL-DEMO-001,omega3_epa_dha,오메가-3(EPA+DHA),warn,SRC-US-ODS-OMEGA3,Omega-3 Fatty Acids - Health Professional Fact Sheet,lines: L446-L446,CHK-OMEGA3-AF-ODS,4 g/day omega-3를 수년간 복용한 고위험 심혈관 환자에서 심방세동 위험이 약간 증가했다.,https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/
EVAL-DEMO-001,omega3_epa_dha,오메가-3(EPA+DHA),warn,SRC-PMID-34612056,Effect of Long-Term Marine ω-3 Fatty Acids Supplementation on the Risk of Atrial Fibrillation in Randomized Controlled Trials of Cardiovascular Outcomes: A Systematic Review and Meta-Analysis,abstract: PubMed abstract results/conclusion,CHK-OMEGA3-AF-META,메타분석에서 marine omega-3 보충은 AF 위험 증가와 연관되었고 >1 g/day 시험군에서 위험이 더 컸다.,https://pubmed.ncbi.nlm.nih.gov/34612056/
EVAL-DEMO-001,magnesium_supplement,마그네슘(보충제),warn,SRC-US-ODS-MAGNESIUM,Magnesium - Health Professional Fact Sheet,lines: L288-L304,CHK-MAG-UL-US,보충제/의약품 유래 마그네슘의 성인 UL은 350 mg/day이다.,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/
EVAL-DEMO-001,magnesium_supplement,마그네슘(보충제),warn,SRC-EU-EFSA-UL-SUMMARY-2025,"Overview on Tolerable Upper Intake Levels as derived by the Scientific Committee on Food (SCF) and the EFSA Panel on Dietetic Products, Nutrition and Allergies (NDA)",table: EFSA summary magnesium row,CHK-MAG-UL-EU,EFSA는 readily dissociable magnesium salts in supplements 기준 성인 UL을 250 mg/day로 요약한다.,https://www.efsa.europa.eu/sites/default/files/2024-05/ul-summary-report.pdf
EVAL-DEMO-001,st_johns_wort,세인트존스워트,contraindicated,SRC-US-NCCIH-STJOHNSWORT,St. John's Wort,lines: L132-L147,CHK-SJW-NCCIH-INTERACTIONS,"세인트존스워트는 여러 약물의 효과를 약화시키거나 serotonin 관련 부작용을 유발할 수 있으며, 특히 항우울제, 피임약, cyclosporine, 항경련제, 심장약, HIV약, 암약, warfarin, statin과 상호작용한다.",https://www.nccih.nih.gov/health/st-johns-wort
EVAL-DEMO-001,st_johns_wort,세인트존스워트,contraindicated,SRC-PMID-31742659,Clinical relevance of St. John's wort drug interactions revisited,abstract: PubMed abstract lines 274-276,CHK-SJW-REVIEW-MECHANISM,"St. John's wort는 PXR 활성화로 CYP3A4와 P-gp를 유도해 cyclosporine, tacrolimus, indinavir, warfarin, alprazolam, simvastatin, oral contraceptives 등의 약동학을 바꿀 수 있다.",https://pubmed.ncbi.nlm.nih.gov/31742659/
