classification_id,source_link_id,v50_link_id,rule_id,rule_type,pmid,lineage_status,v50_rejection_reason,semantic_classification,ingredient_alignment,population_alignment,condition_alignment,outcome_alignment,direct_scope_ingredient_ids,direct_scope_product_item_sequences,direct_scope_profile_conditions,direct_scope_medication_terms,ui_policy,ui_direct_label_allowed,legacy_runtime_reachable,supports_rule_release,human_expert_reviewed,locator,locator_quote_sha256,key_finding_ko,classification_reason_ko,ui_boundary_ko
V51-LIT-CLASS-001,OTC-LIT-LINK-001,OTC-LIT-V50-LINK-001,OTC-RULE-001,duplicate_ingredient,30306812,v50_emitted,,direct_match,match,limited,match,match,ING-acetaminophen,,ageYears>=12,,direct,true,true,false,false,abstract:sentence:10,3f0fa0a8e647527e47d4efe8f91203a74b85b91c56889d336790eeb6b54d56f3,미국 중독관리센터에 접수된 아세트아미노펜 복합제 치료적 오용 사례의 24.8%에서 아세트아미노펜 함유 제품이 두 개 이상 함께 쓰였습니다.,아세트아미노펜 함유 제품을 둘 이상 함께 사용한 조건과 치료적 오용 결과가 성분 중복 규칙에 직접 대응한다. 연구 대상은 미국 중독관리센터에 보고된 12세 이상 사용자로 제한된다.,아세트아미노펜 중복 판정에만 직접 일치로 표시한다. 12세 미만이나 다른 성분 중복으로 일반화하지 않는다.
V51-LIT-CLASS-002,OTC-LIT-LINK-002,,OTC-RULE-001,duplicate_ingredient,26149538,v50_rejected_not_in_v5_corpus,not_in_v5_corpus,,not_assessed,not_assessed,not_assessed,not_assessed,,,,,exclude_from_result_ui,false,true,false,false,abstract:sentence:8,5b2544a45f73774909601a5a5656424caf68989a022195408f3f69c74d76a2b3,"하루 4 g을 넘긴 날의 92%에는 1회량 초과, 너무 이른 재복용, 아세트아미노펜 제품 동시 사용 중 하나 이상이 있었습니다.",v5.0 P AND I 검색식이 논문을 인출하지 않아 v5.0 링크로 채택되지 않았다.,v5.0 결과 UI에서 제외하고 v4 후보 계보 감사에서만 보존한다.
V51-LIT-CLASS-003,OTC-LIT-LINK-003,OTC-LIT-V50-LINK-002,OTC-RULE-002,duplicate_pharmacologic_class,26739516,v50_emitted,,background_context,limited,limited,limited,match,,,,,background_only,false,true,false,false,abstract:sentence:13,6596f262957ee593b731aff63b62b12c442f45e663ee8885f79e45835fd028da,위장관 이상반응과의 연관성은 NSAID와 저용량 아스피린을 함께 쓴 경우에 가장 높았고 각각 단독 사용에서 가장 낮았습니다.,"NSAID와 저용량 아스피린 병용의 위장관 이상반응 신호를 다루지만, 현재 규칙이 만드는 두 비아스피린 NSAID 조합별 직접 비교는 아니다.",NSAID 계열 중복의 배경 연구로만 표시한다. 특정 두 제품 조합의 직접 근거라고 쓰지 않는다.
V51-LIT-CLASS-004,OTC-LIT-LINK-004,,OTC-RULE-003,max_daily_dose,29516533,v50_rejected_not_in_v5_corpus,not_in_v5_corpus,,not_assessed,not_assessed,not_assessed,not_assessed,,,,,exclude_from_result_ui,false,true,false,false,abstract:sentence:10,b7d34a0af43f60050ccae2aaba2ddce93cb2b2f83570fc5b4bf2150dd1be444f,"감기·독감 시즌에 파라세타몰 사용과 과량 복용이 늘었고, 주된 이유는 상기도 증상용 일반의약품 복합제 사용 증가였습니다.",v5.0 P AND I 검색식이 논문을 인출하지 않아 v5.0 링크로 채택되지 않았다.,v5.0 결과 UI에서 제외하고 v4 후보 계보 감사에서만 보존한다.
V51-LIT-CLASS-005,OTC-LIT-LINK-005,,OTC-RULE-003,max_daily_dose,26149538,v50_rejected_not_in_v5_corpus,not_in_v5_corpus,,not_assessed,not_assessed,not_assessed,not_assessed,,,,,exclude_from_result_ui,false,true,false,false,abstract:sentence:7,251bd5f9934dfc47f28dcebed68f616e4982c26c47f3ad5b3a78568032fe6907,아세트아미노펜 섭취가 4 g을 넘은 날은 전체 사용일의 3.1%였고 그런 날의 중앙 섭취량은 5.5 g이었습니다.,v5.0 P AND I 검색식이 논문을 인출하지 않아 v5.0 링크로 채택되지 않았다.,v5.0 결과 UI에서 제외하고 v4 후보 계보 감사에서만 보존한다.
V51-LIT-CLASS-006,OTC-LIT-LINK-006,OTC-LIT-V50-LINK-003,OTC-RULE-004,minimum_interval,30030041,v50_emitted,,background_context,match,limited,mismatch,limited,,,,,background_only,false,true,false,false,abstract:sentence:7,051c8fd1ffc37fd6e63f59120bc3647c8aaf3a126cd208d4f73c1f6866bc1ee8,650 mg 서방정 사용자는 8시간 복용 간격을 아는 비율이 낮았고 너무 이른 재복용이 더 잦았습니다.,연구는 아세트아미노펜 650 mg 서방형의 8시간 간격 인지와 조기 재복용을 다룬다. 현재 규칙의 타이레놀 500 mg 일반정 4시간 최소 간격과 제형·간격 값이 다르다.,복용 간격 오류의 배경으로만 표시한다. 4시간 기준을 뒷받침하는 직접 문헌으로 표시하지 않는다.
V51-LIT-CLASS-007,OTC-LIT-LINK-007,OTC-LIT-V50-LINK-005,OTC-RULE-005,age_restriction,41803773,v50_emitted,,background_context,match,limited,mismatch,limited,,,,,background_only,false,true,false,false,abstract:sentence:11,4e4afc06bef5b64ee26daf6d1611613067364a188a9b490d352dd5584cf232b1,소아 파라세타몰 투약 오류의 가장 흔한 원인은 보호자 간 의사소통 착오와 함량·제형 선택 오류였습니다.,12세 미만 소아의 비의도적 파라세타몰 과량과 액상제 함량·제형 선택 오류를 다룬다. 성인용 500 mg 정제의 최소 연령 조건과 직접 대응하지 않는다.,소아 투약 오류의 배경으로만 표시하고 허가원문과의 conflict를 유지한다.
V51-LIT-CLASS-008,OTC-LIT-LINK-008,OTC-LIT-V50-LINK-004,OTC-RULE-005,age_restriction,22617049,v50_emitted,,background_context,match,limited,mismatch,limited,,,,,background_only,false,true,false,false,abstract:sentence:7,97ac0b2e12c4d1bdf336d9f388257376da26605fe7bf9b1d6c4124a3bec38608,기존 제품 표기 용법으로는 저체중 소아가 권장 1회량·1일 총량의 약 두 배를 받을 위험이 있었고 1세와 6세에서 특히 두드러졌습니다.,"영국 소아용 파라세타몰 연령대별 용량 모델 연구이며, 국내 타이레놀 500 mg 정제의 12세 최소 연령 조건을 직접 검증하지 않았다.",소아 연령대별 용량 오류의 배경으로만 표시한다. 국내 500 mg 정제의 12세 제한과 직접 일치한다고 쓰지 않는다.
V51-LIT-CLASS-009,OTC-LIT-LINK-009,OTC-LIT-V50-LINK-006,OTC-RULE-006,pregnancy_lactation,39714827,v50_emitted,,mixed_scope,limited,match,limited,match,ING-ibuprofen,198601920,pregnant=true;pregnancyTrimester=3,,direct_when_scope_matches_else_background,true,true,false,false,abstract:sentence:16,58e161c5d20f06d7c0abd11c96fa472c54c5cde2ae1605682cbe428d38063494,"임신 중 NSAID 처방에는 주의가 필요하며, 특히 3분기 이부프로펜에서 소아 만성콩팥병 위험이 높게 나타났습니다.","임신 3기 이부프로펜 노출과 소아 신장 결과는 현재 규칙 범위에 직접 대응한다. 그러나 수유는 연구하지 않았고, 행에 함께 선언된 덱시부프로펜·나프록센의 직접 결과도 제시하지 않는다.","임신 3기 이부프로펜 조건에서만 직접 일치로 표시한다. 임신 시기 미입력·1기·2기, 수유 단독 또는 다른 NSAID에는 직접 표시하지 않는다."
V51-LIT-CLASS-010,OTC-LIT-LINK-010,OTC-LIT-V50-LINK-007,OTC-RULE-007,hepatic_disease,26460177,v50_emitted,,background_context,match,limited,limited,limited,,,,,background_only,false,true,false,false,abstract:sentence:2,838705c0fad1e25db49508ad71325866e8d8545700c37ed38afc39e59b574687,"파라세타몰 과량은 전격간부전으로 이어질 수 있고, 단기·장기 사용 모두 간효소 상승과 연관되어 보고되었습니다.","논문 주제는 간기능 저하 환자의 아세트아미노펜 사용이지만, 연결 문장은 일반 과량과 간효소 상승을 설명한다. 만성 간질환자의 구체적 제한을 직접 확정하지 않는다.",간질환 주의의 불확실성을 설명하는 배경 연구로만 표시하고 conflict를 유지한다.
V51-LIT-CLASS-011,OTC-LIT-LINK-011,OTC-LIT-V50-LINK-008,OTC-RULE-008,renal_disease,33662136,v50_emitted,,mixed_scope,limited,limited,match,match,ING-ibuprofen,198601920,kidneyDisease=true;ageYears<=18,,direct_when_scope_matches_else_background,true,true,false,false,abstract:sentence:14,29295c40ec91418813dfd947c5a8b03d117968b3fd16914519c717e1510f2e79,이부프로펜 사용은 만성콩팥병이 있는 소아에서 없는 소아보다 급성신손상 위험이 더 크게 나타났습니다.,"입원 소아의 이부프로펜 사용, 기존 만성콩팥병, 급성신손상 결과는 직접 대응한다. 성인과 행에 선언된 덱시부프로펜·나프록센으로의 확장은 직접 검증되지 않았다.",18세 이하 신장질환자의 이부프로펜 조건에서만 직접 일치로 표시한다. 연령이 없거나 성인이면 배경으로만 표시한다.
V51-LIT-CLASS-012,OTC-LIT-LINK-012,,OTC-RULE-009,gi_bleeding_ulcer,20178131,v50_rejected_not_in_v5_corpus,not_in_v5_corpus,,not_assessed,not_assessed,not_assessed,not_assessed,,,,,exclude_from_result_ui,false,true,false,false,abstract:sentence:6,eb2aff7a8945233ba6087796f6061a2b41772de39dc673455ec976d60e91e10f,상부 위장관 출혈·천공의 상대위험은 전통적 NSAID에서 4.50이었습니다.,v5.0 P AND I 검색식이 논문을 인출하지 않아 v5.0 링크로 채택되지 않았다.,v5.0 결과 UI에서 제외하고 v4 후보 계보 감사에서만 보존한다.
