record_id,target_id,pmid,year,priority,suggested_decision,matched_population_terms,matched_ingredient_terms,matched_outcome_terms,matched_study_terms,title,url
pubmed:42213695:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42213695,2026,likely_exclude,likely_exclude,dietary,calcium,hypercalcemia,randomized,Effect of dietary Ca:P ratio on ionized calcium and calcium homeostasis in cats with early-stage chronic kidney disease.,https://pubmed.ncbi.nlm.nih.gov/42213695/
pubmed:42182979:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42182979,2026,manual_review_high,include_candidate,supplement,vitamin d; calcium,adverse,cohort,Combined occurrence of cardiovascular and bone events in individuals with kidney stone disease.,https://pubmed.ncbi.nlm.nih.gov/42182979/
pubmed:42181337:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42181337,2026,likely_exclude,likely_exclude,supplement,vitamin d; calcium,adverse,cohort,Effectiveness of Immediate Oral Calcium Supplementation After Thyroidectomy on Early Postoperative Hypocalcemia: A Retrospective Study.,https://pubmed.ncbi.nlm.nih.gov/42181337/
pubmed:42179277:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42179277,2026,likely_exclude,likely_exclude,dietary,calcium,adverse,,"Dual Effects of Nicotinamide on Aging-Related Arrhythmia: Protective at Low Dose, Proarrhythmic at Higher Doses.",https://pubmed.ncbi.nlm.nih.gov/42179277/
pubmed:42158881:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42158881,2026,likely_exclude,likely_exclude,dietary,calcium,nephrolithiasis,,The gut-kidney axis in calcium oxalate nephrolithiasis: Nutritional and microbial insights.,https://pubmed.ncbi.nlm.nih.gov/42158881/
pubmed:42151904:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42151904,2026,likely_exclude,likely_exclude,dietary,calcium,nephrolithiasis,,Biochemical composition and demographic distribution of kidney stones: a hospital-based cross-sectional study in Eastern Nepal.,https://pubmed.ncbi.nlm.nih.gov/42151904/
pubmed:42147788:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42147788,2026,likely_exclude,likely_exclude,dietary,calcium,adverse,cohort,Long-term citrate treatment in high-risk kidney stone formers is not associated with metabolic adverse effects.,https://pubmed.ncbi.nlm.nih.gov/42147788/
pubmed:42147385:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42147385,2026,likely_exclude,likely_exclude,supplement,calcium,hypercalcemia,case report,Transcervical video-assisted mediastinoscopy for resection of an ectopic parathyroid adenoma in the mediastinum: a case report.,https://pubmed.ncbi.nlm.nih.gov/42147385/
pubmed:42146312:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42146312,2026,likely_exclude,likely_exclude,supplement,vitamin d; calcium,hypercalcemia,case report,A Modern-Day Captain Charles Martell: Catastrophic Skeletal Manifestations of Primary Hyperparathyroidism.,https://pubmed.ncbi.nlm.nih.gov/42146312/
pubmed:42145024:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42145024,2026,likely_exclude,likely_exclude,adult; supplement,vitamin d; calcium,toxicity,,Overdiagnosed and Oversupplemented: The Iatrogenic Rise of Vitamin D Toxicity.,https://pubmed.ncbi.nlm.nih.gov/42145024/
pubmed:42144902:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42144902,2026,likely_exclude,likely_exclude,supplement; dietary,calcium,adverse,,Rethinking the maximum inclusion levels of exogenous phytase for enhanced turkey production performance.,https://pubmed.ncbi.nlm.nih.gov/42144902/
pubmed:42142201:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42142201,2026,likely_exclude,likely_exclude,dietary,calcium,adverse,,Highlights of Cardiovascular Disease Prevention Studies Presented at the 2026 American College of Cardiology Conference.,https://pubmed.ncbi.nlm.nih.gov/42142201/
pubmed:42134139:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42134139,2026,likely_exclude,likely_exclude,supplement,calcium,,,"Remediating effects of coral fossils on hematobiochemical, histo accumulation and organ histomorphological changes in Chromium intoxicated broilers.",https://pubmed.ncbi.nlm.nih.gov/42134139/
pubmed:42130995:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42130995,2026,likely_exclude,likely_exclude,adult; supplement,vitamin d; calcium,adverse,randomized; case report,Effect of Vitamin D Supplementation Regimens on Fracture Healing and Serum Biomarker Profile in Long-Bone Fractures: A Prospective Randomized Study.,https://pubmed.ncbi.nlm.nih.gov/42130995/
pubmed:42130673:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42130673,2026,likely_exclude,likely_exclude,supplement,calcium,adverse,pharmacokinetic,"Deciphering the anxiolytic mechanism of glycowithenolides from Withania somnifera: insights from network pharmacology, molecular docking, and simulation studies.",https://pubmed.ncbi.nlm.nih.gov/42130673/
pubmed:42129010:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42129010,2026,likely_exclude,likely_exclude,supplement,vitamin d; calcium,adverse,,Shining Light on Dysautonomia: The Role of Vitamin D in Cardiac Autonomic Regulation.,https://pubmed.ncbi.nlm.nih.gov/42129010/
pubmed:42106847:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42106847,2026,likely_exclude,likely_exclude,dietary,calcium,toxicity; adverse,cohort,Serum trace and heavy metal exposure and IVF/ICSI outcomes: modifying effects of maternal diet in a prospective cohort.,https://pubmed.ncbi.nlm.nih.gov/42106847/
pubmed:42095997:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42095997,2026,likely_exclude,likely_exclude,supplement,calcium,hypercalciuria; nephrolithiasis,case report,Familial hypomagnesemia with hypercalciuria and nephrocalcinosis treated with living-donor kidney transplantation: case report.,https://pubmed.ncbi.nlm.nih.gov/42095997/
pubmed:42085570:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42085570,2026,likely_exclude,likely_exclude,supplement,calcium,adverse,,"The Global Calcium Dashboard: Country-Specific Data on Calcium Intakes, Policies, and Related Health Outcomes.",https://pubmed.ncbi.nlm.nih.gov/42085570/
pubmed:42077171:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42077171,2026,likely_exclude,likely_exclude,supplement; dietary,calcium,nephrolithiasis,,Hypophosphatemia in kidney stone formers.,https://pubmed.ncbi.nlm.nih.gov/42077171/
pubmed:42076747:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42076747,2026,likely_exclude,likely_exclude,supplement; dietary,calcium,adverse,,Dietary Tartary Buckwheat Flavonoids Enhance Antioxidant Capacity and Regulate Lipid Metabolism via the AMPK Pathway in Liangshan Yanying Chickens.,https://pubmed.ncbi.nlm.nih.gov/42076747/
pubmed:42061087:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42061087,2026,likely_exclude,likely_exclude,dietary,calcium,toxicity,,Apple derived extracellular vesicles as positive modulators of glial inflammation and gut-brain axis signaling.,https://pubmed.ncbi.nlm.nih.gov/42061087/
pubmed:42046473:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42046473,2026,likely_exclude,likely_exclude,supplement; dietary,calcium,adverse,,Dietary Omega-3 Fatty Acids Alter Hepatic Lipid Oxidation and Oxidative Stress Markers in Postpartum Dairy Cows.,https://pubmed.ncbi.nlm.nih.gov/42046473/
pubmed:42043773:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42043773,2026,likely_exclude,likely_exclude,supplement,calcium,toxicity,,Bioaccumulation and nutritional impact of fluoride in Pleurotus ostreatus and Pleurotus djamor with human health risk assessment.,https://pubmed.ncbi.nlm.nih.gov/42043773/
pubmed:42027563:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42027563,2026,likely_exclude,likely_exclude,supplement,cholecalciferol; calciferol,adverse,systematic review; meta-analysis; randomized,"Effects of sodium bicarbonate, cholecalciferol, and protein supplementation interventions on muscle mass and metabolic disturbances in patients with chronic kidney disease: a systematic review and network meta-analysis.",https://pubmed.ncbi.nlm.nih.gov/42027563/
pubmed:42021547:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42021547,2026,likely_exclude,likely_exclude,supplement,calcium,toxicity,,Dolutegravir developmental toxicity is mitigated by magnesium and folate in zebrafish embryos.,https://pubmed.ncbi.nlm.nih.gov/42021547/
pubmed:42015790:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42015790,2026,likely_exclude,likely_exclude,adult; supplement; dietary,calcium,adverse,systematic review; meta-analysis; randomized,The effect of nutrition education interventions on dialysis patients' outcomes: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/42015790/
pubmed:42013982:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,42013982,2026,likely_exclude,likely_exclude,supplement; dietary,vitamin d; calcium,toxicity,,Analysis of the effect of high doses of vitamin D on gene and protein expression in the intestine of pigs (Sus scrofa).,https://pubmed.ncbi.nlm.nih.gov/42013982/
pubmed:41994682:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41994682,2026,likely_exclude,likely_exclude,supplement,vitamin d; cholecalciferol; calciferol,adverse,,Cholecalciferol Supplementation and Transplant Outcomes Across Immunosuppressive Regimens in Renal Transplant Recipients Using the United States Food and Drug Administration Adverse Event Reporting System.,https://pubmed.ncbi.nlm.nih.gov/41994682/
pubmed:41993139:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41993139,2026,likely_exclude,likely_exclude,,calcium,,cohort,Pre-Hospital Calcium Administration Reduces Incidence of Hypocalcemia and Mortality in Trauma Patients.,https://pubmed.ncbi.nlm.nih.gov/41993139/
pubmed:41988524:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41988524,2026,likely_exclude,likely_exclude,dietary,calcium,adverse,randomized; cohort,Exploring the therapeutic synergy of drug-lifestyle interventions in fluorosis: a randomized trial on cardiovascular metabolic outcomes from the China fluorosis cohort (CFC).,https://pubmed.ncbi.nlm.nih.gov/41988524/
pubmed:41983252:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41983252,2026,likely_exclude,likely_exclude,supplement; dietary,calcium,adverse,,Exploring the dairy milk matrix beyond isolated nutrients-a narrative review.,https://pubmed.ncbi.nlm.nih.gov/41983252/
pubmed:41978147:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41978147,2026,likely_exclude,likely_exclude,adult; supplement,vitamin d; cholecalciferol; calciferol; calcium,hypercalcemia; toxicity,,Protective Effects of Vitamin D Against Doxorubicin Chemotherapy-Induced Hepatotoxicity in Wistar Albino Rats: Evidence from 99mTc-Pyrophosphate Scintigraphy and Oxidative-Inflammatory Pathways.,https://pubmed.ncbi.nlm.nih.gov/41978147/
pubmed:41956768:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41956768,2026,likely_exclude,likely_exclude,supplement,calcium,hypercalcemia,,[Effect of 131iodine therapy on parathyroid function in postoperative patients with papillary thyroid carcinoma].,https://pubmed.ncbi.nlm.nih.gov/41956768/
pubmed:41954050:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41954050,2026,likely_exclude,likely_exclude,supplement,vitamin d; calcium,adverse,cohort,Association Between Calcium Supplementation and Recurrence of Cardiovascular Events in Patients With Cardiovascular Disease: A Population-Based Cohort Study.,https://pubmed.ncbi.nlm.nih.gov/41954050/
pubmed:41950383:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41950383,2026,likely_exclude,likely_exclude,dietary,calcium,,,Revisiting feline urinary tract health: the role of diet and acidifying agents in urolith prevention and long-term cat health.,https://pubmed.ncbi.nlm.nih.gov/41950383/
pubmed:41947071:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41947071,2026,likely_exclude,likely_exclude,supplement,vitamin d; calcium,toxicity,randomized; clinical trial; cohort,Impact of different vitamin D supplementation doses on vitamin D status and bone metabolism in preterm infants.,https://pubmed.ncbi.nlm.nih.gov/41947071/
pubmed:41940240:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41940240,2026,likely_exclude,likely_exclude,supplement,vitamin d; calcium,hypercalcemia,case report,Giant Parathyroid Adenoma Masked by Severe Vitamin D Deficiency with Hypocalcemic Presentation: A Case Report.,https://pubmed.ncbi.nlm.nih.gov/41940240/
pubmed:41935769:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41935769,2026,likely_exclude,likely_exclude,supplement,calcium,toxicity,,Calcium attenuates cadmium toxicity in Cosmos bipinnatus through cell wall remodeling and metabolic regulation: A transcriptomic and physiological analysis.,https://pubmed.ncbi.nlm.nih.gov/41935769/
pubmed:41935325:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41935325,2026,likely_exclude,likely_exclude,supplement,calcium,toxicity,,Phytoplankton community dynamics and their role in naphthenic acid transformation within a constructed wetland system treating oil sands process-affected water.,https://pubmed.ncbi.nlm.nih.gov/41935325/
pubmed:41934468:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41934468,2026,likely_exclude,likely_exclude,dietary,vitamin d; calcium,toxicity,,Evidence for a role of calcium and vitamin D in the regulation of manganese homeostasis and in the prevention or management of manganese-induced disease.,https://pubmed.ncbi.nlm.nih.gov/41934468/
pubmed:41930872:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41930872,2026,likely_exclude,likely_exclude,supplement,calcium,nephrolithiasis; toxicity,,Serine mediates protection against calcium oxalate nephrolithiasis by attenuating tubular epithelial cell apoptosis through the SDSL-IDH2 axis.,https://pubmed.ncbi.nlm.nih.gov/41930872/
pubmed:41928901:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41928901,2026,likely_exclude,likely_exclude,supplement,vitamin d; cholecalciferol; calciferol; calcium,adverse,cohort,Safety of intravenous neridronate in pediatric patients: insights from the monocentric retrospective NAPOLEON cohort.,https://pubmed.ncbi.nlm.nih.gov/41928901/
pubmed:41923194:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41923194,2026,likely_exclude,likely_exclude,adult; supplement,calcium,adverse,cohort,Prognostic value of severe hypocalcemia in predicting mortality and transfusion in moderate-to-severe trauma.,https://pubmed.ncbi.nlm.nih.gov/41923194/
pubmed:41922680:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41922680,2026,likely_exclude,likely_exclude,supplement,calcium,toxicity,,Co-delivery of cisplatin and Bmi1 siRNA via nanocapsules overcomes chemoresistance in ovarian cancer.,https://pubmed.ncbi.nlm.nih.gov/41922680/
pubmed:41921771:pubmed_high_dose_vitd_calcium_20260601T192944_fa5dea8b,high_dose_vitd_calcium,41921771,2026,likely_exclude,likely_exclude,adult; supplement,vitamin d; cholecalciferol; calciferol; calcium,adverse,,Efficacy and Safety of Titrated High-Dose Cholecalciferol Supplementation in Children and Young Adult Patients with Inflammatory Bowel Disease.,https://pubmed.ncbi.nlm.nih.gov/41921771/
