review_id,strategy_id,query_sha256,reviewer_id,review_date_utc,question_number,criterion,rating,comment,required_change,resolution,status
PRESS-K1-01,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,hypothetical_not_a_person,,1,연구질문과 검색개념의 일치,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K1-02,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,hypothetical_not_a_person,,2,주제명(MeSH)과 자유어 누락,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K1-03,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,hypothetical_not_a_person,,3,철자·구문·괄호·필드 태그,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K1-04,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,hypothetical_not_a_person,,4,Boolean 연산자와 근접연산자 사용,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K1-05,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,hypothetical_not_a_person,,5,지나치게 넓거나 좁은 검색 블록,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K1-06,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,hypothetical_not_a_person,,6,알려진 핵심 문헌 회수,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K1-07,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,hypothetical_not_a_person,,7,불필요한 제한과 편향 위험,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K2-01,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,hypothetical_not_a_person,,1,연구질문과 검색개념의 일치,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K2-02,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,hypothetical_not_a_person,,2,주제명(MeSH)과 자유어 누락,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K2-03,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,hypothetical_not_a_person,,3,철자·구문·괄호·필드 태그,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K2-04,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,hypothetical_not_a_person,,4,Boolean 연산자와 근접연산자 사용,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K2-05,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,hypothetical_not_a_person,,5,지나치게 넓거나 좁은 검색 블록,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K2-06,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,hypothetical_not_a_person,,6,알려진 핵심 문헌 회수,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K2-07,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,hypothetical_not_a_person,,7,불필요한 제한과 편향 위험,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
PRESS-K3-01,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,hypothetical_not_a_person,,1,연구질문과 검색개념의 일치,assumed_acceptable_not_reviewed,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims.",,,simulation_only
