evidence_candidate_id,clinical_node_id,pmid,selection_basis,score,year,title,design_signals,outcome_signals,candidate_abstract_quote,source_url,source_locator,verification_status,full_text_status,limitations,human_title_abstract_decision,human_title_abstract_reason,full_text_retrieval_status,full_text_path,human_full_text_decision,human_full_text_reason,full_text_locator,reviewer_id,reviewed_at,review_notes
EV-K1-22422535,K1,22422535,prespecified_seed,6,2012,Effect of vitamin D repletion on urinary calcium excretion among kidney stone formers.,,adverse;hypercalcemia;kidney stone;nephrolith,"BACKGROUND AND OBJECTIVES: Despite the important role of vitamin D in maintaining bone health, many clinicians are reluctant to treat vitamin D deficiency in kidney stone formers because of the theoretical risk of increasing urinary calcium excretion.",https://pubmed.ncbi.nlm.nih.gov/22422535/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-24937025,K1,24937025,prespecified_seed,11,2014,Incidence of hypercalciuria and hypercalcemia during vitamin D and calcium supplementation in older women.,randomized;prospective,hypercalcemia;hypercalciuria;kidney stone,"OBJECTIVE: This study aims to prospectively assess the incidence of hypercalciuria and hypercalcemia with different doses of vitamin D and with a calcium intake of approximately 1,200 mg/day.",https://pubmed.ncbi.nlm.nih.gov/24937025/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-27765695,K1,27765695,prespecified_seed,9,2017,Vitamin D Repletion in Kidney Stone Formers: A Randomized Controlled Trial.,randomized,kidney stone;nephrolith,PURPOSE: Vitamin D deficiency is often detected during metabolic evaluation in the nephrolithiasis population.,https://pubmed.ncbi.nlm.nih.gov/27765695/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-30180273,K1,30180273,prespecified_seed,9,2018,"Safety of calcium and vitamin D supplements, a randomized controlled trial.",randomized,hypercalciuria;kidney stone,OBJECTIVE: It is anticipated that an intake of vitamin D found acceptable by Endocrine Society Guidelines (10 000 IU/day) with co-administered calcium supplements may result in frequent hypercalciuria and hypercalcaemia.,https://pubmed.ncbi.nlm.nih.gov/30180273/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-31005969,K1,31005969,prespecified_seed,9,2019,Monthly high-dose vitamin D supplementation does not increase kidney stone risk or serum calcium: results from a randomized controlled trial.,randomized,adverse;hypercalcemia;kidney stone;urolith,"However, there are limited RCT data on the safety of calcium-related adverse effects.",https://pubmed.ncbi.nlm.nih.gov/31005969/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-36744416,K1,36744416,top_score_recent,11,2023,Vitamin D for the management of asthma.,randomised;meta-analysis,adverse;hypercalciuria;kidney stone,"We observed no effect on the incidence of serious adverse events (OR 0.89, 95% CI 0.56 to 1.41; I2 = 0%; 12 studies, 1556 participants; high-quality evidence).",https://pubmed.ncbi.nlm.nih.gov/36744416/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-38589121,K1,38589121,top_score_recent,11,2024,"Effect of adjunct Vitamin D treatment in vitamin D deficient pulmonary tuberculosis patients: A randomized, double blind, active controlled clinical trial.",randomized;clinical trial;prospective,adverse;hypercalcemia,"During follow-up, we measured the study variables and monitored adverse events at 2, 4, 6, 8 and 12 weeks.",https://pubmed.ncbi.nlm.nih.gov/38589121/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-38787821,K1,38787821,top_score_recent,11,2024,Vitamin D supplementation for prevention of acute respiratory infections in older adults: A systematic review and meta-analysis.,randomized;systematic review;meta-analysis,adverse;kidney stone,"Additionally, vitamin D supplements might result in little to no difference in death due to any cause, any adverse event, hypercalcinemia, and kidney stones.",https://pubmed.ncbi.nlm.nih.gov/38787821/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-38892507,K1,38892507,top_score_recent,11,2024,"A Comparison and Safety Evaluation of Micellar versus Standard Vitamin D3 Oral Supplementation in a Randomized, Double-Blind Human Pilot Study.",randomized;clinical trial,adverse;hypercalcemia,"No significant changes in serum 1,25(OH)2D concentrations or other biochemical safety markers were detected at day 60; no excess risks of hypercalcemia (i.e., total serum calcium > 2.63 mmol/L) or other adverse events were identified.",https://pubmed.ncbi.nlm.nih.gov/38892507/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-39300483,K1,39300483,top_score_recent,11,2024,"Rapid normalization of vitamin D deficiency in PICU (VITdALIZE-KIDS): study protocol for a phase III, multicenter randomized controlled trial.",randomized;clinical trial,adverse;toxicity,"The study includes additional tertiary outcomes including functional status, HRQL and mortality at hospital discharge and 90 days, PICU and hospital length of stay, and adverse events related to vitamin D toxicity.",https://pubmed.ncbi.nlm.nih.gov/39300483/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
