evidence_candidate_id,clinical_node_id,pmid,title,ai_title_abstract_decision,ai_reason,full_text_retrieval_recommended,reviewer_id,review_status,human_confirmation_required
EV-K1-22422535,K1,22422535,Effect of vitamin D repletion on urinary calcium excretion among kidney stone formers.,ai_include_for_full_text,score=6; outcome_signals=adverse;hypercalcemia;kidney stone;nephrolith,true,codex_ai,ai_reviewed_not_human,true
EV-K1-24937025,K1,24937025,Incidence of hypercalciuria and hypercalcemia during vitamin D and calcium supplementation in older women.,ai_include_for_full_text,score=11; outcome_signals=hypercalcemia;hypercalciuria;kidney stone,true,codex_ai,ai_reviewed_not_human,true
EV-K1-27765695,K1,27765695,Vitamin D Repletion in Kidney Stone Formers: A Randomized Controlled Trial.,ai_include_for_full_text,score=9; outcome_signals=kidney stone;nephrolith,true,codex_ai,ai_reviewed_not_human,true
EV-K1-30180273,K1,30180273,"Safety of calcium and vitamin D supplements, a randomized controlled trial.",ai_include_for_full_text,score=9; outcome_signals=hypercalciuria;kidney stone,true,codex_ai,ai_reviewed_not_human,true
EV-K1-31005969,K1,31005969,Monthly high-dose vitamin D supplementation does not increase kidney stone risk or serum calcium: results from a randomized controlled trial.,ai_include_for_full_text,score=9; outcome_signals=adverse;hypercalcemia;kidney stone;urolith,true,codex_ai,ai_reviewed_not_human,true
EV-K1-36744416,K1,36744416,Vitamin D for the management of asthma.,ai_include_for_full_text,score=11; outcome_signals=adverse;hypercalciuria;kidney stone,true,codex_ai,ai_reviewed_not_human,true
EV-K1-38589121,K1,38589121,"Effect of adjunct Vitamin D treatment in vitamin D deficient pulmonary tuberculosis patients: A randomized, double blind, active controlled clinical trial.",ai_include_for_full_text,score=11; outcome_signals=adverse;hypercalcemia,true,codex_ai,ai_reviewed_not_human,true
EV-K1-38787821,K1,38787821,Vitamin D supplementation for prevention of acute respiratory infections in older adults: A systematic review and meta-analysis.,ai_include_for_full_text,score=11; outcome_signals=adverse;kidney stone,true,codex_ai,ai_reviewed_not_human,true
EV-K1-38892507,K1,38892507,"A Comparison and Safety Evaluation of Micellar versus Standard Vitamin D3 Oral Supplementation in a Randomized, Double-Blind Human Pilot Study.",ai_include_for_full_text,score=11; outcome_signals=adverse;hypercalcemia,true,codex_ai,ai_reviewed_not_human,true
EV-K1-39300483,K1,39300483,"Rapid normalization of vitamin D deficiency in PICU (VITdALIZE-KIDS): study protocol for a phase III, multicenter randomized controlled trial.",ai_include_for_full_text,score=11; outcome_signals=adverse;toxicity,true,codex_ai,ai_reviewed_not_human,true
EV-K1-39413318,K1,39413318,Benefits of High-Dose Vitamin D in Managing Cutaneous Adverse Events Induced by Chemotherapy and Radiation Therapy.,ai_include_for_full_text,score=11; outcome_signals=adverse;toxicity,true,codex_ai,ai_reviewed_not_human,true
EV-K1-39747809,K1,39747809,Dietary Supplement Safety in Older Adults: A Review of Published Case Reports.,ai_include_for_full_text,score=11; outcome_signals=adverse;hypercalcemia;neuropath;toxicity,true,codex_ai,ai_reviewed_not_human,true
EV-K1-39886277,K1,39886277,Oral Versus Injectable Vitamin D Therapy for Treating Nutritional Rickets in Indian Children: A Comparative Study.,ai_include_for_full_text,score=11; outcome_signals=hypercalcemia;toxicity,true,codex_ai,ai_reviewed_not_human,true
EV-K1-40083990,K1,40083990,"A randomized multi-arm open labelled comparative clinical trial report of Pankajakasthuri DiabetEaze powder, a novel polyherbal formulation on the nutritional management and glycemic control in type 2 diabetic and prediabetic patients.",ai_include_for_full_text,score=11; outcome_signals=toxic;toxicity,true,codex_ai,ai_reviewed_not_human,true
EV-K1-40466630,K1,40466630,"Extended-Release Calcifediol Normalized 1,25-Dihydroxyvitamin D and Prevented Progression of Secondary Hyperparathyroidism in Hemodialysis Patients in a Pilot Randomized Clinical Trial.",ai_include_for_full_text,score=11; outcome_signals=adverse;hypercalcemia,true,codex_ai,ai_reviewed_not_human,true
EV-K1-40499784,K1,40499784,"Efficacy of daily 4,000 International Units (IU) versus 6,000 IU of oral vitamin D3 in vitamin D deficient children with overweight and obesity: An open-label randomized controlled trial.",ai_include_for_full_text,score=11; outcome_signals=hypercalcemia;hypercalciuria,true,codex_ai,ai_reviewed_not_human,true
EV-K1-40551736,K1,40551736,"Cholecalciferol (vitamin D3): efficacy, safety, and implications in public health.",ai_include_for_full_text,score=11; outcome_signals=hypercalcemia;nephrolith,true,codex_ai,ai_reviewed_not_human,true
EV-K1-40616189,K1,40616189,Are there prophylactic effects of vitamin D among healthier adult patients? A systematic review of randomized controlled trials.,ai_include_for_full_text,score=11; outcome_signals=adverse;hypercalcemia,true,codex_ai,ai_reviewed_not_human,true
EV-K1-40775686,K1,40775686,High-dose extended-release calcifediol successfully treated advanced secondary hyperparathyroidism in an end-stage kidney disease patient: a case report.,ai_include_for_full_text,score=11; outcome_signals=adverse;hypercalcemia;toxicity,true,codex_ai,ai_reviewed_not_human,true
EV-K1-40891477,K1,40891477,Preventing and treating kidney stones: an umbrella review of meta-analyses of non-surgical randomized controlled trials.,ai_include_for_full_text,score=11; outcome_signals=kidney stone;nephrolith,true,codex_ai,ai_reviewed_not_human,true
EV-K1-40944226,K1,40944226,Protective Role of Key Micronutrients in Chemotherapy-Induced Organ Toxicity: A Comprehensive Review of Mechanistic Insights and Clinical Implications.,ai_include_for_full_text,score=11; outcome_signals=toxic;toxicity,true,codex_ai,ai_reviewed_not_human,true
EV-K1-41159913,K1,41159913,"A Phase 2 Trial of RANKL Antibody, Denosumab, in Two Cohorts of Patients with Recurrent/Refractory Osteosarcoma, a Report from the Children's Oncology Group.",ai_include_for_full_text,score=11; outcome_signals=adverse;toxicity,true,codex_ai,ai_reviewed_not_human,true
EV-K1-41758568,K1,41758568,"The Significance of Fibroblast Growth Factor 23 and 24,25-Dihydroxyvitamin D in Dent Disease Type 1.",ai_include_for_full_text,score=11; outcome_signals=hypercalciuria;kidney stone,true,codex_ai,ai_reviewed_not_human,true
EV-K1-41950523,K1,41950523,Reconsidering Vitamin D Supplementation in Pulmonary Disease: The Case for Targeted Respiratory Delivery.,ai_include_for_full_text,score=11; outcome_signals=adverse;hypercalcemia,true,codex_ai,ai_reviewed_not_human,true
EV-K1-42303801,K1,42303801,Eldecalcitol and calcium supplementation in Chinese women with postmenopausal osteoporosis: a prospective observational cohort study.,ai_include_for_full_text,score=11; outcome_signals=adverse;hypercalcemia;urolith,true,codex_ai,ai_reviewed_not_human,true
EV-K2-23647723,K2,23647723,Nutraceuticals and chemotherapy induced peripheral neuropathy (CIPN): a systematic review.,ai_include_for_full_text,score=11; outcome_signals=adverse;neuropath;neurotoxic;toxic,true,codex_ai,ai_reviewed_not_human,true
EV-K2-24813907,K2,24813907,Chronic idiopathic axonal polyneuropathy and vitamin B6: a controlled population-based study.,ai_include_for_full_text,score=11; outcome_signals=neuropath;sensory,true,codex_ai,ai_reviewed_not_human,true
EV-K2-30838307,K2,30838307,Levodopa-Induced Neuropathy: A Systematic Review.,ai_include_for_full_text,score=11; outcome_signals=neuropath;neurotoxic,true,codex_ai,ai_reviewed_not_human,true
EV-K2-33619867,K2,33619867,Association between neuropathy and B-vitamins: A systematic review and meta-analysis.,ai_include_for_full_text,score=8; outcome_signals=neuropath,true,codex_ai,ai_reviewed_not_human,true
EV-K2-34931740,K2,34931740,Vitamin B6 levels do not correlate with severity of neuropathy in chronic idiopathic axonal polyneuropathy.,ai_include_for_full_text,score=9; outcome_signals=neuropath;sensory,true,codex_ai,ai_reviewed_not_human,true
EV-K2-35279367,K2,35279367,Timing of therapy and neurodevelopmental outcomes in 18 families with pyridoxine-dependent epilepsy.,ai_include_for_full_text,score=9; outcome_signals=neurotoxic,true,codex_ai,ai_reviewed_not_human,true
EV-K2-35819060,K2,35819060,A Systematic Review of the Benefit of B-Vitamins as a Complementary Treatment in Cancer Patients.,ai_include_for_full_text,score=9; outcome_signals=neuropath;sensory,true,codex_ai,ai_reviewed_not_human,true
EV-K2-35919449,K2,35919449,Effect of vitamin B complex administration on pain and sensory problems related to inferior alveolar nerve damage following mandibular implant placement surgery.,ai_include_for_full_text,score=9; outcome_signals=paresthes;sensory,true,codex_ai,ai_reviewed_not_human,true
EV-K2-36367997,K2,36367997,Potential Mediators of Oxaliplatin-Induced Peripheral Neuropathy From Adjuvant Therapy in Stage III Colon Cancer: Findings From CALGB (Alliance)/SWOG 80702.,ai_include_for_full_text,score=9; outcome_signals=neuropath,true,codex_ai,ai_reviewed_not_human,true
EV-K2-36381744,K2,36381744,A Case of Acute Motor and Sensory Axonal Neuropathy Secondary to SGN-LIV1A Therapy.,ai_include_for_full_text,score=9; outcome_signals=neuropath;sensory,true,codex_ai,ai_reviewed_not_human,true
EV-K2-36608063,K2,36608063,Preventing Vitamin B6-Related Neurotoxicity.,ai_include_for_full_text,score=11; outcome_signals=neuropath;neurotoxic,true,codex_ai,ai_reviewed_not_human,true
EV-K2-37207271,K2,37207271,Scientific opinion on the tolerable upper intake level for vitamin B6.,ai_include_for_full_text,score=9; outcome_signals=neuropath,true,codex_ai,ai_reviewed_not_human,true
EV-K2-37231628,K2,37231628,Safety and efficacy of vitamin B in cancer treatments: A systematic review.,ai_include_for_full_text,score=9; outcome_signals=neuropath,true,codex_ai,ai_reviewed_not_human,true
EV-K2-37447150,K2,37447150,The Role of Vitamin B6 in Peripheral Neuropathy: A Systematic Review.,ai_include_for_full_text,score=9; outcome_signals=neuropath;neurotoxic;sensory,true,codex_ai,ai_reviewed_not_human,true
EV-K2-37697258,K2,37697258,Can vitamin B6 alleviate the adverse reactions of quadruple anti-Helicobacter pylori regimen? : randomized controlled trial.,ai_include_for_full_text,score=9; outcome_signals=neuropath,true,codex_ai,ai_reviewed_not_human,true
EV-K2-39134879,K2,39134879,Characteristics of isoniazid-induced psychosis: a systematic review of case reports and case series.,ai_include_for_full_text,score=9; outcome_signals=neuropath,true,codex_ai,ai_reviewed_not_human,true
EV-K2-39747809,K2,39747809,Dietary Supplement Safety in Older Adults: A Review of Published Case Reports.,ai_include_for_full_text,score=11; outcome_signals=adverse;hypercalcemia;neuropath;toxicity,true,codex_ai,ai_reviewed_not_human,true
EV-K2-39994116,K2,39994116,Vincristine-induced ptosis in pediatric patients: a systematic review and practice recommendations.,ai_include_for_full_text,score=9; outcome_signals=neuropath;neurotoxic,true,codex_ai,ai_reviewed_not_human,true
EV-K2-40853095,K2,40853095,Unlocking Relief: Investigating the Impact of a Fixed Combination of Acetyl-L-Carnitine and Palmitoylethanolamide on Traumatic Acute Low Back Pain.,ai_include_for_full_text,score=9; outcome_signals=neuropath;sensory,true,codex_ai,ai_reviewed_not_human,true
EV-K2-41522532,K2,41522532,Vincristine-Induced Neurotoxicity in Acute Lymphoblastic Leukemia: A Comprehensive Systematic Review.,ai_include_for_full_text,score=11; outcome_signals=neuropath;neurotoxic;sensory,true,codex_ai,ai_reviewed_not_human,true
EV-K2-41539356,K2,41539356,Adjunctive and supportive strategies to mitigate drug toxicities in the treatment of nontuberculous mycobacterial disease with future directions.,ai_include_for_full_text,score=9; outcome_signals=neuropath,true,codex_ai,ai_reviewed_not_human,true
EV-K2-6308447,K2,6308447,Sensory neuropathy from pyridoxine abuse. A new megavitamin syndrome.,ai_include_for_full_text,score=7; outcome_signals=neuropath;sensory,true,codex_ai,ai_reviewed_not_human,true
EV-K3-23252877,K3,23252877,Tolerability of different oral iron supplements: a systematic review.,ai_include_for_full_text,score=9; outcome_signals=adverse;tolerab,true,codex_ai,ai_reviewed_not_human,true
EV-K3-24899360,K3,24899360,"A rapid, simple questionnaire to assess gastrointestinal symptoms after oral ferrous sulphate supplementation.",ai_include_for_full_text,score=11; outcome_signals=abdominal pain;constipation;diarr;nausea;vomiting,true,codex_ai,ai_reviewed_not_human,true
EV-K3-25700159,K3,25700159,Ferrous sulfate supplementation causes significant gastrointestinal side-effects in adults: a systematic review and meta-analysis.,ai_include_for_full_text,score=9; outcome_signals=tolerab,true,codex_ai,ai_reviewed_not_human,true
EV-K3-35852713,K3,35852713,Hypoxia inducible factor-prolyl hydroxylase inhibitors in anemic patients with non-dialysis dependent chronic kidney disease: a meta-analysis of randomized clinical trials.,ai_include_for_full_text,score=11; outcome_signals=adverse;diarr,true,codex_ai,ai_reviewed_not_human,true
EV-K3-36822986,K3,36822986,"Emergent ""Bloody Diarrhea"" Associated with the Use of Oral Cefdinir in Young Children: A Brief Report and Review of Literature.",ai_include_for_full_text,score=11; outcome_signals=adverse;diarr,true,codex_ai,ai_reviewed_not_human,true
EV-K3-37010569,K3,37010569,A randomized controlled trial of thrice-weekly versus thrice-daily oral ferrous fumarate treatment in adult patients with iron-deficiency anemia.,ai_include_for_full_text,score=9; outcome_signals=adverse,true,codex_ai,ai_reviewed_not_human,true
EV-K3-37971571,K3,37971571,Management of collagenous gastritis in children: Case series and literature review.,ai_include_for_full_text,score=11; outcome_signals=abdominal pain;adverse,true,codex_ai,ai_reviewed_not_human,true
EV-K3-37979057,K3,37979057,Daily versus alternate day oral iron therapy in iron deficiency anemia: a systematic review.,ai_include_for_full_text,score=11; outcome_signals=adverse;constipation;nausea,true,codex_ai,ai_reviewed_not_human,true
EV-K3-38476079,K3,38476079,"A randomized double-blind pilot study to evaluate the efficacy, safety, and tolerability of intravenous iron versus oral iron for the treatment of restless legs syndrome in patients with iron deficiency anemia.",ai_include_for_full_text,score=11; outcome_signals=adverse;tolerab,true,codex_ai,ai_reviewed_not_human,true
EV-K3-38545733,K3,38545733,Daily versus three times weekly dosing for treatment of iron deficiency nonanemia in NCAA Division 1 female athletes.,ai_include_for_full_text,score=11; outcome_signals=constipation;nausea,true,codex_ai,ai_reviewed_not_human,true
EV-K3-38641845,K3,38641845,Haem iron versus ferrous iron salts to treat iron deficiency anaemia in Gambian children: protocol for randomised controlled trial {1}.,ai_include_for_full_text,score=11; outcome_signals=adverse;diarr,true,codex_ai,ai_reviewed_not_human,true
EV-K3-39114275,K3,39114275,Efficacy of daily versus intermittent oral iron supplementation for prevention of anaemia among pregnant women: a systematic review and meta-analysis.,ai_include_for_full_text,score=11; outcome_signals=adverse;constipation;diarr;nausea,true,codex_ai,ai_reviewed_not_human,true
EV-K3-39449947,K3,39449947,Oral Liposomal Iron Versus Injectable Iron Sucrose for Anemia Treatment in Non-dialysis Chronic Kidney Disease Patients: A Non-inferiority Study.,ai_include_for_full_text,score=11; outcome_signals=adverse;constipation;tolerab,true,codex_ai,ai_reviewed_not_human,true
