record_id,question_id,decision,reason_codes,confidence,evidence_basis
PMID-19022608,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-19124552,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19207712,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19421788,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19448132,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19455356,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19517110,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19535988,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19565247,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19630495,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19673913,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19725841,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19734790,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19748189,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,medium,abstract
PMID-19779704,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-19780135,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19781895,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19788404,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19788955,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19815395,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19815612,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-19821517,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19829093,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-19833181,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19836221,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19841915,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19845566,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,medium,abstract
PMID-19850963,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19874187,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19875224,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,low,title_only
PMID-19906068,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19918972,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-19919835,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19921545,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,medium,abstract
PMID-19923254,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19931551,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19931603,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19936729,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19942212,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19943869,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,medium,abstract
PMID-19944893,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19952754,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19958826,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19959335,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19959976,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,low,title_only
