source,target_id,rank,provider_id,pmid,doi,year,journal,title,url,study
europe_pmc,vitd_calcium_secondary,1,41982776,41982776,10.3389/fendo.2026.1799236,2026,Front Endocrinol (Lausanne),Case Report: Two infants with hypercalcemia of rare and distinct etiologies.,https://europepmc.org/article/MED/41982776,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,2,41756473,41756473,10.1210/jcemcr/luag013,2026,JCEM Case Rep,Unexpected severe hypercalcemia in a 6-year-old child with hypoparathyroidism and feeding difficulties.,https://europepmc.org/article/MED/41756473,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,3,42194937,42194937,10.3390/jcm15103973,2026,J Clin Med,Heterogeneous Phenotypes of Primary Hyperparathyroidism in Romania: Characterization of a Large Cohort.,https://europepmc.org/article/MED/42194937,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,4,42035203,42035203,10.1186/s13256-026-06062-3,2026,J Med Case Rep,Divergent clinical presentations and management of calcium-sensing receptor (CaSR) mutations: a case report.,https://europepmc.org/article/MED/42035203,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,5,41958594,41958594,10.3389/fmed.2026.1803319,2026,Front Med (Lausanne),Successful treatment of pediatric acute phosphate nephropathy: a case report and literature review.,https://europepmc.org/article/MED/41958594,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,6,42138629,42138629,10.20945/2359-4292-2026-0044,2026,Arch Endocrinol Metab,Hypophosphatemic rickets: diagnosis and treatment.,https://europepmc.org/article/MED/42138629,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,7,42027586,42027586,10.1210/jcemcr/luag061,2026,JCEM Case Rep,"Primary hyperparathyroidism due to dual parathyroid adenomas: one orthotopic, one intrathymic in ectopic cervical thymus.",https://europepmc.org/article/MED/42027586,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,8,41798566,41798566,10.7759/cureus.102923,2026,Cureus,A Novel SLC9A3R1 Mutation as a Rare Cause of Infantile Hypercalcemia.,https://europepmc.org/article/MED/41798566,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,9,41749356,41749356,10.1186/s13256-026-05860-z,2026,J Med Case Rep,Hypercalcemia associated with kidney disease: it is not always what you think-a case report.,https://europepmc.org/article/MED/41749356,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,10,42194862,42194862,10.3390/jcm15103901,2026,J Clin Med,Comparing 24 h Urine and Spot Urine Calcium Measurements in Clinical Routine: Accuracy and Limitations.,https://europepmc.org/article/MED/42194862,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,11,PMC13038194,,,,J Clin Invest,Long-acting parathyroid hormone receptor agonist rectifies hypocalcemia in autosomal dominant hypocalcemia type 1 mice,,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,12,42074253,42074253,10.3390/ijms27083616,2026,Int J Mol Sci,"Molecular and Genetic Determinants of Nephrocalcinosis: Mechanisms, Genotype-Phenotype Correlations, and Precision Medicine.",https://europepmc.org/article/MED/42074253,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,13,41928887,41928887,10.3389/fendo.2026.1762302,2026,Front Endocrinol (Lausanne),Research on vitamin D metabolic regulation in the pathogenesis of related diseases.,https://europepmc.org/article/MED/41928887,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,14,41810186,41810186,10.21037/tp-2025-aw-699,2026,Transl Pediatr,Genetic background of infantile hypophosphatemia: a narrative review.,https://europepmc.org/article/MED/41810186,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,15,41102971,41102971,10.24171/j.phrp.2025.0157,2025,Osong Public Health Res Perspect,"Association of demographic and biochemical factors with hypercalciuria among Meitei adults in Manipur, Northeast India: a cross-sectional study.",https://europepmc.org/article/MED/41102971,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,16,41403548,41403548,10.4103/jfmpc.jfmpc_225_25,2025,J Family Med Prim Care,Can a 25(OH)D3 level of 556 ng/mL be asymptomatic? A case report of incorrect supplementation.,https://europepmc.org/article/MED/41403548,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,17,41993986,41993986,10.3389/fendo.2026.1769262,2026,Front Endocrinol (Lausanne),Hypoparathyroidism: a brief historical overview for clinicians.,https://europepmc.org/article/MED/41993986,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,18,41961012,41961012,10.1530/ec-26-0118,2026,Endocr Connect,Phosphate handling as a determinant of osteoporosis in primary hyperparathyroidism.,https://europepmc.org/article/MED/41961012,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,19,41891992,41891992,10.3390/diseases14030091,2026,Diseases,First Reported Use of Recombinant Parathyroid Hormone in Kenny-Caffey Syndrome Type 2: A Case Report and Literature Review.,https://europepmc.org/article/MED/41891992,kwon_otc_nutrients
europe_pmc,vitd_calcium_secondary,20,41938302,41938302,10.1016/j.aed.2026.01.012,2026,AACE Endocrinol Diabetes,Sarcoidosis-Induced Hypercalcemia in a Patient With Multiple Endocrine Neoplasia Type 2A (MEN2A) Syndrome Harboring the C609Y REarranged During Transfection (RET) Mutation.,https://europepmc.org/article/MED/41938302,kwon_otc_nutrients
crossref,vitd_calcium_secondary,1,10.1097/gme.0000000000000336,,10.1097/gme.0000000000000336,2014,Menopause,Effects of vitamin D and calcium supplementation on hypercalcemia and hypercalciuria,https://doi.org/10.1097/gme.0000000000000336,kwon_otc_nutrients
