scenario_id,scenario_type,input_json,gold_hazards_json,critical,adjudicator_id,adjudicated_at,locked_before_test,notes
SIM-VD-001,threshold_above,"{""age"":30,""ingredient"":""vitamin_d"",""daily_total_ug"":101}","[""V3-DRAFT-KDRI-VD-UL""]",true,hypothetical_not_a_person,,false,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims."
SIM-VD-002,threshold_boundary,"{""age"":30,""ingredient"":""vitamin_d"",""daily_total_ug"":100}",[],false,hypothetical_not_a_person,,false,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims."
SIM-B6-001,threshold_above,"{""age"":30,""ingredient"":""vitamin_b6"",""daily_total_mg"":51}","[""V3-DRAFT-KDRI-B6-UL""]",true,hypothetical_not_a_person,,false,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims."
SIM-B6-002,threshold_boundary,"{""age"":30,""ingredient"":""vitamin_b6"",""daily_total_mg"":50}",[],false,hypothetical_not_a_person,,false,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims."
SIM-MG-001,threshold_above,"{""age"":30,""ingredient"":""magnesium"",""non_food_daily_total_mg"":351}","[""V3-DRAFT-KDRI-MG-UL""]",true,hypothetical_not_a_person,,false,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims."
SIM-MG-002,scope_guard,"{""age"":30,""ingredient"":""magnesium"",""food_daily_mg"":500,""non_food_daily_total_mg"":0}",[],false,hypothetical_not_a_person,,false,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims."
SIM-FE-001,threshold_above,"{""age"":30,""ingredient"":""iron"",""daily_total_mg"":46}","[""V3-DRAFT-KDRI-FE-UL""]",true,hypothetical_not_a_person,,false,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims."
SIM-FE-002,threshold_boundary,"{""age"":30,""ingredient"":""iron"",""daily_total_mg"":45}",[],false,hypothetical_not_a_person,,false,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims."
SIM-ZN-001,threshold_above,"{""age"":30,""ingredient"":""zinc"",""daily_total_mg"":36}","[""V3-DRAFT-KDRI-ZN-UL""]",true,hypothetical_not_a_person,,false,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims."
SIM-ZN-002,threshold_boundary,"{""age"":30,""ingredient"":""zinc"",""daily_total_mg"":35}",[],false,hypothetical_not_a_person,,false,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims."
SIM-CA-001,profile_above,"{""age"":35,""sex"":""female"",""ingredient"":""calcium"",""daily_total_mg"":2001}","[""V3-DRAFT-KDRI-CA-UL""]",true,hypothetical_not_a_person,,false,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims."
SIM-CA-002,profile_boundary,"{""age"":35,""sex"":""female"",""ingredient"":""calcium"",""daily_total_mg"":2000}",[],false,hypothetical_not_a_person,,false,"SIMULATION ONLY: no human review, expert approval, adjudication, or screening occurred. These files must not be merged into authoritative research data or used for release claims."
